Middle layer Super Output Areas Code,Middle layer Super Output Areas,shared_ownership
E02000704,Merton 016,23
E02000705,Merton 017,27
E02000706,Merton 018,61
E02000707,Merton 019,12
E02000708,Merton 020,36
E02000709,Merton 021,8
E02000710,Merton 022,54
E02000711,Merton 023,21
E02000712,Merton 024,28
E02000713,Merton 025,15
E02000714,Newham 001,77
E02000715,Newham 002,21
E02000716,Newham 003,31
E02000717,Newham 004,29
E02000718,Newham 005,38
E02000719,Newham 006,40
E02000720,Newham 007,19
E02000721,Newham 008,18
E02000722,Newham 009,67
E02000723,Newham 010,16
E02000724,Newham 011,16
E02000725,Newham 012,135
E02000727,Newham 014,10
E02000728,Newham 015,12
E02000729,Newham 016,18
E02000730,Newham 017,9
E02000731,Newham 018,20
E02000732,Newham 019,55
E02000733,Newham 020,57
E02000734,Newham 021,72
E02000735,Newham 022,59
E02000736,Newham 023,19
E02000737,Newham 024,27
E02000738,Newham 025,55
E02000739,Newham 026,78
E02000740,Newham 027,27
E02000741,Newham 028,22
E02000742,Newham 029,20
E02000743,Newham 030,138
E02000744,Newham 031,97
E02000745,Newham 032,64
E02000746,Newham 033,145
E02000747,Newham 034,194
E02000748,Newham 035,18
E02000749,Newham 036,107
E02000751,Redbridge 001,13
E02000752,Redbridge 002,130
E02000753,Redbridge 003,27
E02000754,Redbridge 004,10
E02000755,Redbridge 005,9
E02000756,Redbridge 006,43
E02000757,Redbridge 007,50
E02000758,Redbridge 008,19
E02000759,Redbridge 009,27
E02000760,Redbridge 010,29
E02000762,Redbridge 012,7
E02000763,Redbridge 013,33
E02000764,Redbridge 014,22
E02000765,Redbridge 015,8
E02000767,Redbridge 017,44
E02000768,Redbridge 018,4
E02000770,Redbridge 020,15
E02000772,Redbridge 022,10
E02000773,Redbridge 023,27
E02000774,Redbridge 024,5
E02000776,Redbridge 026,10
E02000777,Redbridge 027,8
E02000779,Redbridge 029,33
E02000781,Redbridge 031,22
E02000782,Redbridge 032,167
E02000783,Redbridge 033,18
E02000784,Richmond upon Thames 001,8
E02000785,Richmond upon Thames 002,15
E02000786,Richmond upon Thames 003,25
E02000787,Richmond upon Thames 004,84
E02000788,Richmond upon Thames 005,3
E02000789,Richmond upon Thames 006,7
E02000790,Richmond upon Thames 007,19
E02000791,Richmond upon Thames 008,10
E02000792,Richmond upon Thames 009,7
E02000793,Richmond upon Thames 010,22
E02000794,Richmond upon Thames 011,34
E02000795,Richmond upon Thames 012,8
E02000796,Richmond upon Thames 013,25
E02000797,Richmond upon Thames 014,47
E02000798,Richmond upon Thames 015,23
E02000799,Richmond upon Thames 016,8
E02000800,Richmond upon Thames 017,13
E02000801,Richmond upon Thames 018,38
E02000802,Richmond upon Thames 019,6
E02000803,Richmond upon Thames 020,63
E02000804,Richmond upon Thames 021,22
E02000805,Richmond upon Thames 022,43
E02000806,Richmond upon Thames 023,33
E02000807,Southwark 001,119
E02000808,Southwark 002,138
E02000810,Southwark 004,354
E02000812,Southwark 006,80
E02000813,Southwark 007,76
E02000814,Southwark 008,140
E02000815,Southwark 009,90
E02000816,Southwark 010,147
E02000817,Southwark 011,46
E02000818,Southwark 012,247
E02000819,Southwark 013,65
E02000820,Southwark 014,125
E02000821,Southwark 015,119
E02000822,Southwark 016,16
E02000823,Southwark 017,65
E02000824,Southwark 018,53
E02000825,Southwark 019,83
E02000826,Southwark 020,163
E02000827,Southwark 021,145
E02000828,Southwark 022,155
E02000829,Southwark 023,88
E02000830,Southwark 024,40
E02000831,Southwark 025,113
E02000832,Southwark 026,68
E02000833,Southwark 027,28
E02000834,Southwark 028,23
E02000835,Southwark 029,17
E02000836,Southwark 030,18
E02000837,Southwark 031,11
E02000838,Southwark 032,27
E02000839,Southwark 033,53
E02000840,Sutton 001,30
E02000841,Sutton 002,53
E02000842,Sutton 003,11
E02000843,Sutton 004,208
E02000844,Sutton 005,18
E02000845,Sutton 006,37
E02000846,Sutton 007,23
E02000847,Sutton 008,13
E02000848,Sutton 009,6
E02000849,Sutton 010,34
E02000850,Sutton 011,12
E02000851,Sutton 012,185
E02000852,Sutton 013,13
E02000853,Sutton 014,15
E02000854,Sutton 015,18
E02000855,Sutton 016,14
E02000856,Sutton 017,25
E02000857,Sutton 018,13
E02000858,Sutton 019,87
E02000859,Sutton 020,8
E02000860,Sutton 021,14
E02000861,Sutton 022,8
E02000863,Sutton 024,9
E02000864,Tower Hamlets 001,204
E02000865,Tower Hamlets 002,75
E02000866,Tower Hamlets 003,55
E02000867,Tower Hamlets 004,211
E02000868,Tower Hamlets 005,43
E02000869,Tower Hamlets 006,31
E02000870,Tower Hamlets 007,33
E02000871,Tower Hamlets 008,197
E02000872,Tower Hamlets 009,56
E02000873,Tower Hamlets 010,107
E02000874,Tower Hamlets 011,40
E02000875,Tower Hamlets 012,161
E02000876,Tower Hamlets 013,34
E02000877,Tower Hamlets 014,98
E02000878,Tower Hamlets 015,63
E02000879,Tower Hamlets 016,40
E02000880,Tower Hamlets 017,23
E02000881,Tower Hamlets 018,149
E02000882,Tower Hamlets 019,252
E02000883,Tower Hamlets 020,77
E02000884,Tower Hamlets 021,186
E02000885,Tower Hamlets 022,39
E02000886,Tower Hamlets 023,79
E02000887,Tower Hamlets 024,98
E02000888,Tower Hamlets 025,107
E02000889,Tower Hamlets 026,82
E02000890,Tower Hamlets 027,35
E02000893,Tower Hamlets 030,35
E02000894,Tower Hamlets 031,85
E02000895,Waltham Forest 001,36
E02000896,Waltham Forest 002,19
E02000897,Waltham Forest 003,10
E02000898,Waltham Forest 004,32
E02000899,Waltham Forest 005,13
E02000900,Waltham Forest 006,31
E02000901,Waltham Forest 007,47
E02000902,Waltham Forest 008,155
E02000903,Waltham Forest 009,77
E02000904,Waltham Forest 010,71
E02000905,Waltham Forest 011,48
E02000906,Waltham Forest 012,26
E02000907,Waltham Forest 013,61
E02000908,Waltham Forest 014,260
E02000909,Waltham Forest 015,38
E02000910,Waltham Forest 016,46
E02000911,Waltham Forest 017,141
E02000912,Waltham Forest 018,55
E02000913,Waltham Forest 019,51
E02000914,Waltham Forest 020,85
E02000915,Waltham Forest 021,10
E02000916,Waltham Forest 022,115
E02000917,Waltham Forest 023,36
E02000918,Waltham Forest 024,38
E02000919,Waltham Forest 025,21
E02000920,Waltham Forest 026,107
E02000921,Waltham Forest 027,48
E02000922,Waltham Forest 028,22
E02000923,Wandsworth 001,57
E02000925,Wandsworth 003,40
E02000926,Wandsworth 004,296
E02000927,Wandsworth 005,16
E02000928,Wandsworth 006,16
E02000929,Wandsworth 007,99
E02000930,Wandsworth 008,19
E02000931,Wandsworth 009,8
E02000932,Wandsworth 010,283
E02000933,Wandsworth 011,37
E02000934,Wandsworth 012,79
E02000935,Wandsworth 013,15
E02000936,Wandsworth 014,111
E02000937,Wandsworth 015,14
E02000938,Wandsworth 016,152
E02000939,Wandsworth 017,9
E02000940,Wandsworth 018,124
E02000941,Wandsworth 019,29
E02000942,Wandsworth 020,26
E02000943,Wandsworth 021,55
E02000944,Wandsworth 022,43
E02000945,Wandsworth 023,29
E02000946,Wandsworth 024,51
E02000947,Wandsworth 025,67
E02000948,Wandsworth 026,33
E02000949,Wandsworth 027,57
E02000950,Wandsworth 028,16
E02000951,Wandsworth 029,17
E02000952,Wandsworth 030,8
E02000953,Wandsworth 031,73
E02000954,Wandsworth 032,23
E02000955,Wandsworth 033,17
E02000956,Wandsworth 034,32
E02000957,Wandsworth 035,87
E02000958,Wandsworth 036,12
E02000959,Wandsworth 037,33
E02000960,Westminster 001,12
E02000961,Westminster 002,11
E02000962,Westminster 003,14
E02000963,Westminster 004,46
E02000964,Westminster 005,47
E02000965,Westminster 006,15
E02000966,Westminster 007,11
E02000967,Westminster 008,22
E02000968,Westminster 009,38
E02000969,Westminster 010,66
E02000970,Westminster 011,14
E02000971,Westminster 012,28
E02000972,Westminster 013,41
E02000973,Westminster 014,29
E02000974,Westminster 015,53
