Middle layer Super Output Areas Code,Middle layer Super Output Areas,owns_outright
E02006454,Waverley 016,1081
E02006455,Waverley 017,798
E02006456,Woking 001,1107
E02006457,Woking 002,1581
E02006458,Woking 003,1466
E02006459,Woking 004,680
E02006460,Woking 005,1143
E02006461,Woking 006,1081
E02006462,Woking 007,1079
E02006463,Woking 008,1109
E02006464,Woking 009,941
E02006465,Woking 010,980
E02006466,Woking 011,1009
E02006467,Woking 012,1076
E02006534,Adur 001,1510
E02006535,Adur 002,1475
E02006536,Adur 003,1293
E02006537,Adur 004,1237
E02006538,Adur 005,1738
E02006539,Adur 006,1261
E02006540,Adur 007,1058
E02006541,Adur 008,1530
E02006542,Arun 001,1216
E02006543,Arun 002,1190
E02006544,Arun 003,2073
E02006545,Arun 004,1276
E02006546,Arun 005,1990
E02006547,Arun 006,1171
E02006548,Arun 007,1786
E02006549,Arun 008,1957
E02006550,Arun 009,2200
E02006551,Arun 010,2705
E02006552,Arun 011,983
E02006553,Arun 012,1550
E02006554,Arun 013,1700
E02006555,Arun 014,932
E02006556,Arun 015,2336
E02006557,Arun 016,763
E02006558,Arun 017,1381
E02006559,Arun 018,2538
E02006560,Arun 019,2435
E02006561,Chichester 001,1034
E02006562,Chichester 002,1129
E02006563,Chichester 003,1048
E02006564,Chichester 004,1510
E02006565,Chichester 005,1460
E02006566,Chichester 006,1692
E02006567,Chichester 007,1492
E02006568,Chichester 008,1488
E02006569,Chichester 009,1744
E02006570,Chichester 010,1548
E02006571,Chichester 011,1656
E02006572,Chichester 012,1533
E02006573,Chichester 013,2634
E02006574,Chichester 014,2747
E02006575,Crawley 001,701
E02006576,Crawley 002,1225
E02006577,Crawley 003,792
E02006578,Crawley 004,955
E02006579,Crawley 005,904
E02006580,Crawley 006,978
E02006581,Crawley 007,954
E02006582,Crawley 008,993
E02006583,Crawley 009,1143
E02006584,Crawley 010,488
E02006585,Crawley 011,804
E02006586,Crawley 012,479
E02006587,Crawley 013,526
E02006588,Horsham 001,1268
E02006589,Horsham 002,1983
E02006590,Horsham 003,1335
E02006591,Horsham 004,1268
E02006592,Horsham 005,1111
E02006593,Horsham 006,1459
E02006594,Horsham 007,1459
E02006595,Horsham 008,1570
E02006596,Horsham 009,1417
E02006597,Horsham 010,1743
E02006598,Horsham 011,1002
E02006599,Horsham 012,1893
E02006600,Horsham 013,1888
E02006601,Horsham 014,1613
E02006602,Horsham 015,1459
E02006603,Horsham 016,2011
E02006604,Mid Sussex 001,1794
E02006605,Mid Sussex 002,965
E02006606,Mid Sussex 003,1463
E02006607,Mid Sussex 004,1475
E02006608,Mid Sussex 005,1238
E02006609,Mid Sussex 006,1129
E02006610,Mid Sussex 007,1037
E02006611,Mid Sussex 008,2061
E02006612,Mid Sussex 009,1430
E02006613,Mid Sussex 010,893
E02006614,Mid Sussex 011,1680
E02006615,Mid Sussex 012,900
E02006616,Mid Sussex 013,1457
E02006617,Mid Sussex 014,1269
E02006618,Mid Sussex 015,1280
E02006619,Mid Sussex 016,1205
E02006620,Mid Sussex 017,1985
E02006621,Worthing 001,1955
E02006622,Worthing 002,1477
E02006623,Worthing 003,1243
E02006624,Worthing 004,1270
E02006625,Worthing 005,1093
E02006626,Worthing 006,892
E02006627,Worthing 007,1609
E02006628,Worthing 008,979
E02006629,Worthing 009,1026
E02006630,Worthing 010,1327
E02006631,Worthing 011,1297
E02006632,Worthing 012,1732
E02006633,Worthing 013,2150
E02006782,Bromley 040,1028
E02006783,Lewisham 037,414
E02006784,Lewisham 038,597
E02006785,Bexley 029,886
E02006786,Greenwich 033,571
E02006787,Bromley 041,1034
E02006788,Croydon 045,558
E02006789,Bromley 042,1471
E02006790,Tandridge 012,1390
E02006791,Ealing 040,647
E02006792,Hounslow 029,953
E02006793,Enfield 037,414
E02006794,Haringey 037,242
E02006795,Harrow 032,879
E02006796,Hillingdon 033,1025
E02006798,Lewisham 039,268
E02006799,Barking and Dagenham 023,537
E02006800,Redbridge 034,1066
E02006801,Lambeth 036,405
E02006802,Southwark 034,349
E02006821,Portsmouth 026,1048
E02006822,Havant 018,1578
E02006823,Buckinghamshire 039,1697
E02006824,Buckinghamshire 036,1732
E02006825,East Cambridgeshire 011,1094
E02006826,West Suffolk 015,1355
E02006829,East Hampshire 016,1504
E02006830,Havant 019,766
E02006831,Havant 020,1381
E02006832,Sevenoaks 016,998
E02006833,Tonbridge and Malling 014,1786
E02006836,Sutton 025,1319
E02006837,Epsom and Ewell 010,1813
E02006838,East Hampshire 017,1529
E02006839,Waverley 018,1447
E02006853,Tower Hamlets 032,318
E02006854,Tower Hamlets 033,337
E02006855,Canterbury 019,456
E02006856,Canterbury 020,1178
E02006857,Eastbourne 013,1579
E02006858,Eastbourne 014,1341
E02006859,Thurrock 019,362
E02006873,South Cambridgeshire 020,511
E02006874,South Cambridgeshire 021,1129
E02006877,Peterborough 022,1043
E02006878,Peterborough 023,620
E02006879,Folkestone and Hythe 014,558
E02006880,Folkestone and Hythe 015,959
E02006882,Harrow 033,1845
E02006886,Vale of White Horse 016,1912
E02006907,Norwich 014,676
E02006908,Norwich 015,649
E02006918,Hackney 028,234
E02006921,Hackney 029,213
E02006922,Colchester 022,2364
E02006924,Redbridge 035,1273
E02006925,Redbridge 036,1482
E02006926,Thurrock 020,644
E02006927,Greenwich 034,1058
E02006928,Greenwich 035,332
E02006930,Greenwich 037,522
E02006931,Greenwich 038,734
E02006937,Luton 022,444
E02006938,Luton 023,108
E02006939,Reading 019,235
E02006940,Reading 020,308
E02006941,Southwark 035,459
E02006942,Southwark 036,290
E02006953,Barnet 042,321
E02006954,Barnet 043,576
E02006955,Brent 035,185
E02006956,Brent 036,711
E02006968,Ealing 041,899
E02006969,Ealing 042,391
E02006970,Ealing 043,333
E02006971,Ealing 044,590
E02006972,Hounslow 030,292
E02006973,Hounslow 031,537
E02006975,Portsmouth 027,168
E02006976,Portsmouth 028,163
E02006978,Chelmsford 022,669
E02006979,Chelmsford 023,537
E02006980,Rochford 011,1483
E02006981,Rochford 012,1511
E02006987,Croydon 046,194
E02006988,Croydon 047,453
E02006991,Greenwich 039,161
E02006992,Greenwich 040,306
E02006993,Greenwich 041,250
E02006994,Greenwich 042,196
E02006995,Newham 038,75
E02006996,Newham 039,252
E02006997,Newham 040,145
E02006998,Newham 041,183
E02006999,Newham 042,245
E02007004,Thurrock 021,311
E02007005,Thurrock 022,361
E02007008,Lewisham 040,142
E02007009,Lewisham 041,372
E02007010,Bedford 021,1024
E02007011,Bedford 022,535
E02007012,Milton Keynes 033,448
E02007013,Milton Keynes 034,215
E02007014,Milton Keynes 035,484
E02007015,Milton Keynes 036,540
E02007016,Milton Keynes 037,675
E02007017,Redbridge 037,763
E02007018,Redbridge 038,430
E02007019,Redbridge 039,255
E02007020,Redbridge 040,730
E02007021,Oxford 020,667
E02007032,North Norfolk 015,1493
E02007033,North Norfolk 016,1147
E02007046,Ashford 015,959
E02007047,Ashford 016,735
E02007052,Norwich 016,408
E02007053,Norwich 017,551
E02007054,South Norfolk 016,842
E02007055,South Norfolk 017,1524
E02007056,Colchester 023,654
E02007057,Colchester 024,586
E02007068,Slough 015,268
E02007069,Slough 016,591
E02007074,Southampton 033,151
E02007075,Southampton 034,353
E02007076,Test Valley 016,383
E02007077,Test Valley 017,391
E02007078,Test Valley 018,683
E02007083,Wandsworth 038,462
E02007084,Wandsworth 039,383
E02007085,South Cambridgeshire 022,2136
E02007086,Cambridge 015,748
E02007087,Cambridge 014,547
E02007088,North Hertfordshire 016,1296
E02007089,North Hertfordshire 017,644
E02007090,St Albans 021,805
E02007091,Stevenage 013,1001
E02007092,Welwyn Hatfield 017,746
E02007093,East Hertfordshire 019,1317
E02007108,Hackney 030,252
E02007109,Hackney 031,379
E02007110,Hackney 032,253
E02007111,Hackney 033,166
E02007112,Tower Hamlets 034,206
E02007113,Tower Hamlets 035,234
E02007114,Tower Hamlets 036,250
E02007115,Camden 029,460
E02007116,Oxford 019,512
