Middle layer Super Output Areas Code,Middle layer Super Output Areas,owns_outright
E02000829,Southwark 023,426
E02000830,Southwark 024,603
E02000831,Southwark 025,590
E02000832,Southwark 026,419
E02000833,Southwark 027,360
E02000834,Southwark 028,663
E02000835,Southwark 029,539
E02000836,Southwark 030,723
E02000837,Southwark 031,1086
E02000838,Southwark 032,698
E02000839,Southwark 033,839
E02000840,Sutton 001,435
E02000841,Sutton 002,500
E02000842,Sutton 003,1144
E02000843,Sutton 004,790
E02000844,Sutton 005,760
E02000845,Sutton 006,1031
E02000846,Sutton 007,966
E02000847,Sutton 008,1441
E02000848,Sutton 009,1121
E02000849,Sutton 010,906
E02000850,Sutton 011,1344
E02000851,Sutton 012,804
E02000852,Sutton 013,987
E02000853,Sutton 014,865
E02000854,Sutton 015,1022
E02000855,Sutton 016,1323
E02000856,Sutton 017,1122
E02000857,Sutton 018,938
E02000858,Sutton 019,415
E02000859,Sutton 020,1281
E02000860,Sutton 021,659
E02000861,Sutton 022,1305
E02000863,Sutton 024,926
E02000864,Tower Hamlets 001,321
E02000865,Tower Hamlets 002,179
E02000866,Tower Hamlets 003,550
E02000867,Tower Hamlets 004,328
E02000868,Tower Hamlets 005,250
E02000869,Tower Hamlets 006,302
E02000870,Tower Hamlets 007,220
E02000871,Tower Hamlets 008,238
E02000872,Tower Hamlets 009,229
E02000873,Tower Hamlets 010,224
E02000874,Tower Hamlets 011,149
E02000875,Tower Hamlets 012,271
E02000876,Tower Hamlets 013,209
E02000877,Tower Hamlets 014,282
E02000878,Tower Hamlets 015,355
E02000879,Tower Hamlets 016,280
E02000880,Tower Hamlets 017,186
E02000881,Tower Hamlets 018,251
E02000882,Tower Hamlets 019,170
E02000883,Tower Hamlets 020,153
E02000884,Tower Hamlets 021,339
E02000885,Tower Hamlets 022,145
E02000886,Tower Hamlets 023,315
E02000887,Tower Hamlets 024,260
E02000888,Tower Hamlets 025,302
E02000889,Tower Hamlets 026,368
E02000890,Tower Hamlets 027,482
E02000893,Tower Hamlets 030,283
E02000894,Tower Hamlets 031,442
E02000895,Waltham Forest 001,1096
E02000896,Waltham Forest 002,1380
E02000897,Waltham Forest 003,883
E02000898,Waltham Forest 004,957
E02000899,Waltham Forest 005,1071
E02000900,Waltham Forest 006,833
E02000901,Waltham Forest 007,1102
E02000902,Waltham Forest 008,731
E02000903,Waltham Forest 009,499
E02000904,Waltham Forest 010,683
E02000905,Waltham Forest 011,675
E02000906,Waltham Forest 012,627
E02000907,Waltham Forest 013,443
E02000908,Waltham Forest 014,626
E02000909,Waltham Forest 015,695
E02000910,Waltham Forest 016,848
E02000911,Waltham Forest 017,710
E02000912,Waltham Forest 018,652
E02000913,Waltham Forest 019,884
E02000914,Waltham Forest 020,537
E02000915,Waltham Forest 021,677
E02000916,Waltham Forest 022,639
E02000917,Waltham Forest 023,563
E02000918,Waltham Forest 024,586
E02000919,Waltham Forest 025,655
E02000920,Waltham Forest 026,579
E02000921,Waltham Forest 027,475
E02000922,Waltham Forest 028,711
E02000923,Wandsworth 001,925
E02000925,Wandsworth 003,461
E02000926,Wandsworth 004,794
E02000927,Wandsworth 005,399
E02000928,Wandsworth 006,967
E02000929,Wandsworth 007,283
E02000930,Wandsworth 008,748
E02000931,Wandsworth 009,691
E02000932,Wandsworth 010,997
E02000933,Wandsworth 011,1069
E02000934,Wandsworth 012,572
E02000935,Wandsworth 013,291
E02000936,Wandsworth 014,866
E02000937,Wandsworth 015,680
E02000938,Wandsworth 016,835
E02000939,Wandsworth 017,833
E02000940,Wandsworth 018,446
E02000941,Wandsworth 019,763
E02000942,Wandsworth 020,1026
E02000943,Wandsworth 021,698
E02000944,Wandsworth 022,360
E02000945,Wandsworth 023,367
E02000946,Wandsworth 024,458
E02000947,Wandsworth 025,775
E02000948,Wandsworth 026,758
E02000949,Wandsworth 027,995
E02000950,Wandsworth 028,665
E02000951,Wandsworth 029,518
E02000952,Wandsworth 030,439
E02000953,Wandsworth 031,448
E02000954,Wandsworth 032,580
E02000955,Wandsworth 033,529
E02000956,Wandsworth 034,363
E02000957,Wandsworth 035,699
E02000958,Wandsworth 036,811
E02000959,Wandsworth 037,451
E02000960,Westminster 001,707
E02000961,Westminster 002,762
