Middle layer Super Output Areas Code,Middle layer Super Output Areas,1_bedroom
E02006588,Horsham 001,731
E02006589,Horsham 002,310
E02006590,Horsham 003,476
E02006591,Horsham 004,639
E02006592,Horsham 005,163
E02006593,Horsham 006,1228
E02006594,Horsham 007,410
E02006595,Horsham 008,175
E02006596,Horsham 009,295
E02006597,Horsham 010,431
E02006598,Horsham 011,127
E02006599,Horsham 012,89
E02006600,Horsham 013,517
E02006601,Horsham 014,375
E02006602,Horsham 015,103
E02006603,Horsham 016,297
E02006604,Mid Sussex 001,1270
E02006605,Mid Sussex 002,139
E02006606,Mid Sussex 003,232
E02006607,Mid Sussex 004,193
E02006608,Mid Sussex 005,175
E02006609,Mid Sussex 006,178
E02006610,Mid Sussex 007,347
E02006611,Mid Sussex 008,197
E02006612,Mid Sussex 009,1130
E02006613,Mid Sussex 010,438
E02006614,Mid Sussex 011,459
E02006615,Mid Sussex 012,170
E02006616,Mid Sussex 013,256
E02006617,Mid Sussex 014,776
E02006618,Mid Sussex 015,55
E02006619,Mid Sussex 016,247
E02006620,Mid Sussex 017,310
E02006621,Worthing 001,149
E02006622,Worthing 002,382
E02006623,Worthing 003,328
E02006624,Worthing 004,168
E02006625,Worthing 005,508
E02006626,Worthing 006,281
E02006627,Worthing 007,515
E02006628,Worthing 008,871
E02006629,Worthing 009,589
E02006630,Worthing 010,1745
E02006631,Worthing 011,2291
E02006632,Worthing 012,575
E02006633,Worthing 013,225
E02006782,Bromley 040,238
E02006783,Lewisham 037,204
E02006784,Lewisham 038,525
E02006785,Bexley 029,227
E02006786,Greenwich 033,385
E02006787,Bromley 041,306
E02006788,Croydon 045,261
E02006789,Bromley 042,177
E02006790,Tandridge 012,259
E02006791,Ealing 040,962
E02006792,Hounslow 029,1310
E02006793,Enfield 037,805
E02006794,Haringey 037,1032
E02006795,Harrow 032,162
E02006796,Hillingdon 033,483
E02006798,Lewisham 039,1246
E02006799,Barking and Dagenham 023,368
E02006800,Redbridge 034,850
E02006801,Lambeth 036,1318
E02006802,Southwark 034,1304
E02006821,Portsmouth 026,117
E02006822,Havant 018,189
E02006823,Buckinghamshire 039,195
E02006824,Buckinghamshire 036,255
E02006825,East Cambridgeshire 011,123
E02006826,West Suffolk 015,575
E02006829,East Hampshire 016,192
E02006830,Havant 019,382
E02006831,Havant 020,185
E02006832,Sevenoaks 016,139
E02006833,Tonbridge and Malling 014,385
E02006836,Sutton 025,278
E02006837,Epsom and Ewell 010,357
E02006838,East Hampshire 017,162
E02006839,Waverley 018,392
E02006853,Tower Hamlets 032,2269
E02006854,Tower Hamlets 033,1437
E02006855,Canterbury 019,377
E02006856,Canterbury 020,994
E02006857,Eastbourne 013,380
E02006858,Eastbourne 014,231
E02006859,Thurrock 019,114
E02006873,South Cambridgeshire 020,213
E02006874,South Cambridgeshire 021,174
E02006877,Peterborough 022,339
E02006878,Peterborough 023,287
E02006879,Folkestone and Hythe 014,1566
E02006880,Folkestone and Hythe 015,1043
E02006882,Harrow 033,198
E02006886,Vale of White Horse 016,287
E02006907,Norwich 014,1718
E02006908,Norwich 015,590
E02006918,Hackney 028,1041
E02006921,Hackney 029,778
E02006922,Colchester 022,501
E02006924,Redbridge 035,590
E02006925,Redbridge 036,264
E02006926,Thurrock 020,200
E02006927,Greenwich 034,910
E02006928,Greenwich 035,1605
E02006930,Greenwich 037,990
E02006931,Greenwich 038,978
E02006937,Luton 022,1444
E02006938,Luton 023,1699
E02006939,Reading 019,1459
E02006940,Reading 020,1406
E02006941,Southwark 035,1147
E02006942,Southwark 036,1076
E02006953,Barnet 042,1445
E02006954,Barnet 043,966
E02006955,Brent 035,1164
E02006956,Brent 036,411
E02006968,Ealing 041,849
E02006969,Ealing 042,1057
E02006970,Ealing 043,425
E02006971,Ealing 044,170
E02006972,Hounslow 030,701
E02006973,Hounslow 031,1144
E02006975,Portsmouth 027,998
E02006976,Portsmouth 028,659
E02006978,Chelmsford 022,994
E02006979,Chelmsford 023,1121
E02006980,Rochford 011,75
E02006981,Rochford 012,271
E02006987,Croydon 046,2042
E02006988,Croydon 047,1234
E02006991,Greenwich 039,1173
E02006992,Greenwich 040,1026
E02006993,Greenwich 041,1147
E02006994,Greenwich 042,1180
E02006995,Newham 038,587
E02006996,Newham 039,955
E02006997,Newham 040,1343
E02006998,Newham 041,749
E02006999,Newham 042,1597
E02007004,Thurrock 021,611
E02007005,Thurrock 022,447
E02007008,Lewisham 040,1177
E02007009,Lewisham 041,1456
E02007010,Bedford 021,202
E02007011,Bedford 022,163
E02007012,Milton Keynes 033,331
E02007013,Milton Keynes 034,308
E02007014,Milton Keynes 035,437
E02007015,Milton Keynes 036,351
E02007016,Milton Keynes 037,297
E02007017,Redbridge 037,126
E02007018,Redbridge 038,467
E02007019,Redbridge 039,740
E02007020,Redbridge 040,285
E02007021,Oxford 020,310
E02007032,North Norfolk 015,317
E02007033,North Norfolk 016,313
E02007046,Ashford 015,295
E02007047,Ashford 016,290
E02007052,Norwich 016,1234
E02007053,Norwich 017,1183
E02007054,South Norfolk 016,172
E02007055,South Norfolk 017,255
E02007056,Colchester 023,288
E02007057,Colchester 024,264
E02007068,Slough 015,630
E02007069,Slough 016,391
E02007074,Southampton 033,1159
E02007075,Southampton 034,974
E02007076,Test Valley 016,263
E02007077,Test Valley 017,223
E02007078,Test Valley 018,644
E02007083,Wandsworth 038,1536
E02007084,Wandsworth 039,1245
E02007085,South Cambridgeshire 022,385
E02007086,Cambridge 015,506
E02007087,Cambridge 014,757
E02007088,North Hertfordshire 016,143
E02007089,North Hertfordshire 017,147
E02007090,St Albans 021,201
E02007091,Stevenage 013,312
E02007092,Welwyn Hatfield 017,377
E02007093,East Hertfordshire 019,202
E02007108,Hackney 030,1017
E02007109,Hackney 031,936
E02007110,Hackney 032,1182
E02007111,Hackney 033,1006
E02007112,Tower Hamlets 034,1511
E02007113,Tower Hamlets 035,1095
E02007114,Tower Hamlets 036,1059
E02007115,Camden 029,1961
E02007116,Oxford 019,448
