Middle layer Super Output Areas Code,Middle layer Super Output Areas,1_bedroom
E02000390,Hammersmith and Fulham 019,704
E02000391,Hammersmith and Fulham 020,767
E02000392,Hammersmith and Fulham 021,1044
E02000393,Hammersmith and Fulham 022,459
E02000394,Hammersmith and Fulham 023,1136
E02000395,Hammersmith and Fulham 024,584
E02000396,Hammersmith and Fulham 025,509
E02000397,Haringey 001,1197
E02000398,Haringey 002,826
E02000400,Haringey 004,617
E02000401,Haringey 005,288
E02000402,Haringey 006,444
E02000403,Haringey 007,858
E02000404,Haringey 008,546
E02000405,Haringey 009,334
E02000406,Haringey 010,445
E02000407,Haringey 011,902
E02000408,Haringey 012,687
E02000409,Haringey 013,679
E02000410,Haringey 014,603
E02000411,Haringey 015,999
E02000412,Haringey 016,985
E02000413,Haringey 017,493
E02000414,Haringey 018,552
E02000415,Haringey 019,706
E02000416,Haringey 020,1399
E02000417,Haringey 021,664
E02000418,Haringey 022,327
E02000419,Haringey 023,1093
E02000420,Haringey 024,1161
E02000421,Haringey 025,1023
E02000422,Haringey 026,751
E02000423,Haringey 027,685
E02000424,Haringey 028,848
E02000425,Haringey 029,440
E02000426,Haringey 030,474
E02000427,Haringey 031,898
E02000428,Haringey 032,799
E02000429,Haringey 033,966
E02000430,Haringey 034,1121
E02000431,Haringey 035,772
E02000432,Haringey 036,886
E02000433,Harrow 001,540
E02000434,Harrow 002,503
E02000435,Harrow 003,296
E02000436,Harrow 004,81
E02000437,Harrow 005,326
E02000438,Harrow 006,387
E02000439,Harrow 007,368
E02000440,Harrow 008,100
E02000441,Harrow 009,374
E02000442,Harrow 010,209
E02000443,Harrow 011,636
E02000444,Harrow 012,127
E02000445,Harrow 013,675
E02000447,Harrow 015,211
E02000448,Harrow 016,294
E02000449,Harrow 017,239
E02000451,Harrow 019,152
E02000452,Harrow 020,862
E02000453,Harrow 021,551
E02000454,Harrow 022,50
E02000455,Harrow 023,1459
E02000456,Harrow 024,411
E02000457,Harrow 025,422
E02000459,Harrow 027,886
E02000460,Harrow 028,305
E02000461,Harrow 029,436
E02000462,Harrow 030,286
E02000463,Harrow 031,265
E02000464,Havering 001,344
E02000465,Havering 002,557
E02000466,Havering 003,160
E02000467,Havering 004,1073
E02000468,Havering 005,178
E02000469,Havering 006,278
E02000470,Havering 007,573
E02000471,Havering 008,30
E02000472,Havering 009,152
E02000473,Havering 010,330
E02000474,Havering 011,454
E02000475,Havering 012,399
E02000476,Havering 013,1277
E02000477,Havering 014,113
E02000478,Havering 015,101
E02000479,Havering 016,631
E02000480,Havering 017,714
E02000481,Havering 018,84
E02000482,Havering 019,78
E02000483,Havering 020,526
E02000484,Havering 021,220
E02000485,Havering 022,152
E02000486,Havering 023,240
E02000487,Havering 024,24
E02000488,Havering 025,153
E02000489,Havering 026,235
E02000490,Havering 027,204
E02000491,Havering 028,420
E02000492,Havering 029,95
E02000493,Havering 030,282
E02000494,Hillingdon 001,465
E02000495,Hillingdon 002,810
E02000496,Hillingdon 003,454
E02000497,Hillingdon 004,399
E02000498,Hillingdon 005,423
E02000499,Hillingdon 006,240
E02000500,Hillingdon 007,356
E02000501,Hillingdon 008,210
E02000502,Hillingdon 009,341
E02000503,Hillingdon 010,137
E02000504,Hillingdon 011,165
E02000506,Hillingdon 013,251
E02000507,Hillingdon 014,144
E02000508,Hillingdon 015,1098
E02000509,Hillingdon 016,969
E02000510,Hillingdon 017,373
E02000511,Hillingdon 018,273
E02000512,Hillingdon 019,500
E02000513,Hillingdon 020,531
E02000514,Hillingdon 021,227
E02000515,Hillingdon 022,1629
E02000516,Hillingdon 023,364
E02000517,Hillingdon 024,454
E02000518,Hillingdon 025,449
E02000519,Hillingdon 026,551
E02000520,Hillingdon 027,870
E02000521,Hillingdon 028,651
E02000522,Hillingdon 029,505
E02000523,Hillingdon 030,721
E02000524,Hillingdon 031,601
E02000525,Hillingdon 032,651
E02000526,Hounslow 001,682
E02000529,Hounslow 004,404
E02000530,Hounslow 005,390
E02000531,Hounslow 006,1267
E02000532,Hounslow 007,732
E02000533,Hounslow 008,750
E02000534,Hounslow 009,456
E02000535,Hounslow 010,339
E02000536,Hounslow 011,411
E02000537,Hounslow 012,319
E02000538,Hounslow 013,318
E02000539,Hounslow 014,898
E02000540,Hounslow 015,1207
E02000541,Hounslow 016,591
E02000542,Hounslow 017,1054
E02000543,Hounslow 018,1444
E02000544,Hounslow 019,270
E02000545,Hounslow 020,664
E02000546,Hounslow 021,434
E02000547,Hounslow 022,590
E02000548,Hounslow 023,816
E02000549,Hounslow 024,369
E02000550,Hounslow 025,518
E02000551,Hounslow 026,667
E02000552,Hounslow 027,521
E02000553,Hounslow 028,279
E02000554,Islington 001,1486
E02000555,Islington 002,1133
E02000556,Islington 003,1852
E02000557,Islington 004,1722
E02000558,Islington 005,1600
E02000559,Islington 006,1160
E02000560,Islington 007,1229
E02000561,Islington 008,982
E02000562,Islington 009,1113
E02000563,Islington 010,1342
E02000564,Islington 011,2206
E02000565,Islington 012,1106
E02000566,Islington 013,1111
E02000567,Islington 014,1663
E02000568,Islington 015,1668
E02000569,Islington 016,1407
E02000570,Islington 017,1325
E02000571,Islington 018,1307
E02000572,Islington 019,1026
E02000573,Islington 020,1669
E02000574,Islington 021,1293
E02000575,Islington 022,1931
E02000576,Islington 023,1740
E02000577,Kensington and Chelsea 001,1212
E02000578,Kensington and Chelsea 002,616
E02000579,Kensington and Chelsea 003,1225
E02000580,Kensington and Chelsea 004,1727
E02000581,Kensington and Chelsea 005,1006
E02000582,Kensington and Chelsea 006,1334
E02000583,Kensington and Chelsea 007,1006
E02000584,Kensington and Chelsea 008,938
E02000585,Kensington and Chelsea 009,857
E02000586,Kensington and Chelsea 010,657
E02000587,Kensington and Chelsea 011,781
E02000588,Kensington and Chelsea 012,836
E02000589,Kensington and Chelsea 013,1422
E02000590,Kensington and Chelsea 014,1191
E02000591,Kensington and Chelsea 015,1352
E02000592,Kensington and Chelsea 016,825
E02000593,Kensington and Chelsea 017,1358
E02000594,Kensington and Chelsea 018,850
E02000595,Kensington and Chelsea 019,1015
E02000596,Kensington and Chelsea 020,895
E02000597,Kensington and Chelsea 021,898
E02000598,Kingston upon Thames 001,150
E02000599,Kingston upon Thames 002,89
E02000600,Kingston upon Thames 003,565
E02000601,Kingston upon Thames 004,915
E02000602,Kingston upon Thames 005,1061
E02000603,Kingston upon Thames 006,331
E02000604,Kingston upon Thames 007,542
E02000605,Kingston upon Thames 008,341
E02000606,Kingston upon Thames 009,1215
E02000607,Kingston upon Thames 010,360
E02000608,Kingston upon Thames 011,1212
E02000609,Kingston upon Thames 012,246
E02000610,Kingston upon Thames 013,1229
E02000611,Kingston upon Thames 014,103
E02000612,Kingston upon Thames 015,197
E02000613,Kingston upon Thames 016,460
E02000614,Kingston upon Thames 017,386
E02000615,Kingston upon Thames 018,190
E02000616,Kingston upon Thames 019,130
E02000617,Kingston upon Thames 020,219
E02000619,Lambeth 002,1339
E02000620,Lambeth 003,1468
E02000621,Lambeth 004,2158
E02000622,Lambeth 005,1014
E02000623,Lambeth 006,773
E02000624,Lambeth 007,1291
E02000625,Lambeth 008,927
E02000626,Lambeth 009,1003
E02000627,Lambeth 010,946
E02000628,Lambeth 011,1361
E02000629,Lambeth 012,1119
E02000630,Lambeth 013,922
E02000631,Lambeth 014,815
E02000632,Lambeth 015,1031
E02000633,Lambeth 016,1171
E02000634,Lambeth 017,924
E02000635,Lambeth 018,1357
E02000636,Lambeth 019,510
E02000637,Lambeth 020,1010
E02000638,Lambeth 021,998
E02000639,Lambeth 022,1032
E02000640,Lambeth 023,626
E02000641,Lambeth 024,749
E02000642,Lambeth 025,1007
E02000643,Lambeth 026,1069
E02000644,Lambeth 027,726
E02000645,Lambeth 028,1025
E02000646,Lambeth 029,981
E02000647,Lambeth 030,678
E02000648,Lambeth 031,693
E02000649,Lambeth 032,1635
E02000650,Lambeth 033,807
E02000651,Lambeth 034,833
E02000652,Lambeth 035,142
E02000653,Lewisham 001,1664
E02000654,Lewisham 002,1159
E02000655,Lewisham 003,1363
E02000657,Lewisham 005,1278
E02000658,Lewisham 006,961
E02000659,Lewisham 007,830
E02000660,Lewisham 008,1138
E02000661,Lewisham 009,793
E02000662,Lewisham 010,745
E02000663,Lewisham 011,585
E02000665,Lewisham 013,785
E02000666,Lewisham 014,481
E02000667,Lewisham 015,275
E02000668,Lewisham 016,320
E02000669,Lewisham 017,824
E02000670,Lewisham 018,668
E02000671,Lewisham 019,734
E02000672,Lewisham 020,1292
E02000673,Lewisham 021,811
E02000674,Lewisham 022,336
E02000675,Lewisham 023,457
E02000676,Lewisham 024,636
E02000677,Lewisham 025,389
E02000678,Lewisham 026,423
E02000679,Lewisham 027,752
E02000680,Lewisham 028,569
E02000681,Lewisham 029,621
E02000682,Lewisham 030,356
E02000683,Lewisham 031,481
E02000685,Lewisham 033,730
E02000686,Lewisham 034,668
E02000687,Lewisham 035,792
E02000689,Merton 001,668
E02000690,Merton 002,225
E02000691,Merton 003,556
E02000692,Merton 004,789
E02000693,Merton 005,1127
E02000694,Merton 006,767
E02000695,Merton 007,256
