Middle layer Super Output Areas Code,Middle layer Super Output Areas,4_or_more_bedrooms
E02006561,Chichester 001,969
E02006562,Chichester 002,1164
E02006563,Chichester 003,1023
E02006564,Chichester 004,802
E02006565,Chichester 005,982
E02006566,Chichester 006,1305
E02006567,Chichester 007,903
E02006568,Chichester 008,753
E02006569,Chichester 009,1055
E02006570,Chichester 010,492
E02006571,Chichester 011,962
E02006572,Chichester 012,981
E02006573,Chichester 013,1563
E02006574,Chichester 014,972
E02006575,Crawley 001,411
E02006576,Crawley 002,1394
E02006577,Crawley 003,433
E02006578,Crawley 004,602
E02006579,Crawley 005,523
E02006580,Crawley 006,619
E02006581,Crawley 007,636
E02006582,Crawley 008,1299
E02006583,Crawley 009,694
E02006584,Crawley 010,206
E02006585,Crawley 011,319
E02006586,Crawley 012,261
E02006587,Crawley 013,366
E02006588,Horsham 001,1012
E02006589,Horsham 002,1688
E02006590,Horsham 003,957
E02006591,Horsham 004,743
E02006592,Horsham 005,1062
E02006593,Horsham 006,747
E02006594,Horsham 007,1099
E02006595,Horsham 008,1539
E02006596,Horsham 009,1310
E02006597,Horsham 010,1461
E02006598,Horsham 011,727
E02006599,Horsham 012,1515
E02006600,Horsham 013,995
E02006601,Horsham 014,1114
E02006602,Horsham 015,1373
E02006603,Horsham 016,1116
E02006604,Mid Sussex 001,1115
E02006605,Mid Sussex 002,949
E02006606,Mid Sussex 003,1204
E02006607,Mid Sussex 004,1254
E02006608,Mid Sussex 005,989
E02006609,Mid Sussex 006,1098
E02006610,Mid Sussex 007,1204
E02006611,Mid Sussex 008,1878
E02006612,Mid Sussex 009,1139
E02006613,Mid Sussex 010,504
E02006614,Mid Sussex 011,1840
E02006615,Mid Sussex 012,761
E02006616,Mid Sussex 013,991
E02006617,Mid Sussex 014,624
E02006618,Mid Sussex 015,1038
E02006619,Mid Sussex 016,1255
E02006620,Mid Sussex 017,1393
E02006621,Worthing 001,924
E02006622,Worthing 002,652
E02006623,Worthing 003,394
E02006624,Worthing 004,1063
E02006625,Worthing 005,524
E02006626,Worthing 006,618
E02006627,Worthing 007,524
E02006628,Worthing 008,473
E02006629,Worthing 009,428
E02006630,Worthing 010,457
E02006631,Worthing 011,554
E02006632,Worthing 012,852
E02006633,Worthing 013,786
E02006782,Bromley 040,781
E02006783,Lewisham 037,144
E02006784,Lewisham 038,325
E02006785,Bexley 029,458
E02006786,Greenwich 033,307
E02006787,Bromley 041,919
E02006788,Croydon 045,298
E02006789,Bromley 042,1060
E02006790,Tandridge 012,920
E02006791,Ealing 040,619
E02006792,Hounslow 029,778
E02006793,Enfield 037,341
E02006794,Haringey 037,246
E02006795,Harrow 032,672
E02006796,Hillingdon 033,535
E02006798,Lewisham 039,254
E02006799,Barking and Dagenham 023,332
E02006800,Redbridge 034,1356
E02006801,Lambeth 036,229
E02006802,Southwark 034,276
E02006821,Portsmouth 026,713
E02006822,Havant 018,774
E02006823,Buckinghamshire 039,1786
E02006824,Buckinghamshire 036,1319
E02006825,East Cambridgeshire 011,946
E02006826,West Suffolk 015,591
E02006829,East Hampshire 016,1136
E02006830,Havant 019,403
E02006831,Havant 020,635
E02006832,Sevenoaks 016,667
E02006833,Tonbridge and Malling 014,1623
E02006836,Sutton 025,1644
E02006837,Epsom and Ewell 010,2181
E02006838,East Hampshire 017,1315
E02006839,Waverley 018,1549
E02006853,Tower Hamlets 032,218
E02006854,Tower Hamlets 033,146
E02006855,Canterbury 019,443
E02006856,Canterbury 020,707
E02006857,Eastbourne 013,534
E02006858,Eastbourne 014,655
E02006859,Thurrock 019,723
E02006873,South Cambridgeshire 020,1222
E02006874,South Cambridgeshire 021,1654
E02006877,Peterborough 022,1230
E02006878,Peterborough 023,1790
E02006879,Folkestone and Hythe 014,263
E02006880,Folkestone and Hythe 015,391
E02006882,Harrow 033,1733
E02006886,Vale of White Horse 016,2234
E02006907,Norwich 014,318
E02006908,Norwich 015,280
E02006918,Hackney 028,349
E02006921,Hackney 029,390
E02006922,Colchester 022,1294
E02006924,Redbridge 035,1776
E02006925,Redbridge 036,2067
E02006926,Thurrock 020,946
E02006927,Greenwich 034,672
E02006928,Greenwich 035,142
E02006930,Greenwich 037,602
E02006931,Greenwich 038,544
E02006937,Luton 022,278
E02006938,Luton 023,136
E02006939,Reading 019,201
E02006940,Reading 020,254
E02006941,Southwark 035,56
E02006942,Southwark 036,114
E02006953,Barnet 042,82
E02006954,Barnet 043,463
E02006955,Brent 035,165
E02006956,Brent 036,486
E02006968,Ealing 041,970
E02006969,Ealing 042,284
E02006970,Ealing 043,262
E02006971,Ealing 044,435
E02006972,Hounslow 030,152
E02006973,Hounslow 031,156
E02006975,Portsmouth 027,129
E02006976,Portsmouth 028,160
E02006978,Chelmsford 022,293
E02006979,Chelmsford 023,229
E02006980,Rochford 011,1128
E02006981,Rochford 012,1150
E02006987,Croydon 046,71
E02006988,Croydon 047,254
E02006991,Greenwich 039,56
E02006992,Greenwich 040,210
E02006993,Greenwich 041,192
E02006994,Greenwich 042,211
E02006995,Newham 038,220
E02006996,Newham 039,264
E02006997,Newham 040,105
E02006998,Newham 041,141
E02006999,Newham 042,182
E02007004,Thurrock 021,208
E02007005,Thurrock 022,326
E02007008,Lewisham 040,72
E02007009,Lewisham 041,377
E02007010,Bedford 021,950
E02007011,Bedford 022,956
E02007012,Milton Keynes 033,1015
E02007013,Milton Keynes 034,1365
E02007014,Milton Keynes 035,680
E02007015,Milton Keynes 036,1162
E02007016,Milton Keynes 037,1229
E02007017,Redbridge 037,666
E02007018,Redbridge 038,354
E02007019,Redbridge 039,225
E02007020,Redbridge 040,768
E02007021,Oxford 020,609
E02007032,North Norfolk 015,516
E02007033,North Norfolk 016,411
E02007046,Ashford 015,526
E02007047,Ashford 016,928
E02007052,Norwich 016,133
E02007053,Norwich 017,218
E02007054,South Norfolk 016,1038
E02007055,South Norfolk 017,572
E02007056,Colchester 023,1119
E02007057,Colchester 024,712
E02007068,Slough 015,273
E02007069,Slough 016,523
E02007074,Southampton 033,195
E02007075,Southampton 034,96
E02007076,Test Valley 016,802
E02007077,Test Valley 017,610
E02007078,Test Valley 018,341
E02007083,Wandsworth 038,74
E02007084,Wandsworth 039,352
E02007085,South Cambridgeshire 022,1785
E02007086,Cambridge 015,1035
E02007087,Cambridge 014,528
E02007088,North Hertfordshire 016,1298
E02007089,North Hertfordshire 017,824
E02007090,St Albans 021,844
E02007091,Stevenage 013,692
E02007092,Welwyn Hatfield 017,388
E02007093,East Hertfordshire 019,1330
E02007108,Hackney 030,226
E02007109,Hackney 031,471
E02007110,Hackney 032,164
E02007111,Hackney 033,103
E02007112,Tower Hamlets 034,117
E02007113,Tower Hamlets 035,192
E02007114,Tower Hamlets 036,188
E02007115,Camden 029,267
E02007116,Oxford 019,626
