Middle layer Super Output Areas Code,Middle layer Super Output Areas,4_or_more_bedrooms
E02000705,Merton 017,726
E02000706,Merton 018,334
E02000707,Merton 019,461
E02000708,Merton 020,1042
E02000709,Merton 021,1008
E02000710,Merton 022,482
E02000711,Merton 023,320
E02000712,Merton 024,481
E02000713,Merton 025,549
E02000714,Newham 001,404
E02000715,Newham 002,336
E02000716,Newham 003,478
E02000717,Newham 004,478
E02000718,Newham 005,245
E02000719,Newham 006,452
E02000720,Newham 007,643
E02000721,Newham 008,670
E02000722,Newham 009,382
E02000723,Newham 010,837
E02000724,Newham 011,627
E02000725,Newham 012,259
E02000727,Newham 014,459
E02000728,Newham 015,554
E02000729,Newham 016,534
E02000730,Newham 017,725
E02000731,Newham 018,563
E02000732,Newham 019,355
E02000733,Newham 020,418
E02000734,Newham 021,384
E02000735,Newham 022,403
E02000736,Newham 023,374
E02000737,Newham 024,462
E02000738,Newham 025,506
E02000739,Newham 026,400
E02000740,Newham 027,231
E02000741,Newham 028,301
E02000742,Newham 029,352
E02000743,Newham 030,274
E02000744,Newham 031,293
E02000745,Newham 032,521
E02000746,Newham 033,372
E02000747,Newham 034,266
E02000748,Newham 035,277
E02000749,Newham 036,327
E02000751,Redbridge 001,1890
E02000752,Redbridge 002,348
E02000753,Redbridge 003,352
E02000754,Redbridge 004,614
E02000755,Redbridge 005,442
E02000756,Redbridge 006,1142
E02000757,Redbridge 007,1324
E02000758,Redbridge 008,714
E02000759,Redbridge 009,1189
E02000760,Redbridge 010,597
E02000762,Redbridge 012,899
E02000763,Redbridge 013,622
E02000764,Redbridge 014,1352
E02000765,Redbridge 015,714
E02000767,Redbridge 017,670
E02000768,Redbridge 018,985
E02000770,Redbridge 020,730
E02000772,Redbridge 022,751
E02000773,Redbridge 023,787
E02000774,Redbridge 024,690
E02000776,Redbridge 026,690
E02000777,Redbridge 027,865
E02000779,Redbridge 029,571
E02000781,Redbridge 031,1537
E02000782,Redbridge 032,496
E02000783,Redbridge 033,428
E02000784,Richmond upon Thames 001,1553
E02000785,Richmond upon Thames 002,1499
E02000786,Richmond upon Thames 003,1128
E02000787,Richmond upon Thames 004,1082
E02000788,Richmond upon Thames 005,1407
E02000789,Richmond upon Thames 006,629
E02000790,Richmond upon Thames 007,901
E02000791,Richmond upon Thames 008,610
E02000792,Richmond upon Thames 009,859
E02000793,Richmond upon Thames 010,806
E02000794,Richmond upon Thames 011,893
E02000795,Richmond upon Thames 012,1308
E02000796,Richmond upon Thames 013,1091
E02000797,Richmond upon Thames 014,667
E02000798,Richmond upon Thames 015,1058
E02000799,Richmond upon Thames 016,984
E02000800,Richmond upon Thames 017,404
E02000801,Richmond upon Thames 018,818
E02000802,Richmond upon Thames 019,883
E02000803,Richmond upon Thames 020,939
E02000804,Richmond upon Thames 021,919
E02000805,Richmond upon Thames 022,1332
E02000806,Richmond upon Thames 023,1329
E02000807,Southwark 001,440
E02000808,Southwark 002,195
E02000810,Southwark 004,279
E02000812,Southwark 006,271
E02000813,Southwark 007,250
E02000814,Southwark 008,467
E02000815,Southwark 009,182
E02000816,Southwark 010,309
E02000817,Southwark 011,256
E02000818,Southwark 012,335
E02000819,Southwark 013,325
E02000820,Southwark 014,317
E02000821,Southwark 015,473
E02000822,Southwark 016,179
E02000823,Southwark 017,347
E02000824,Southwark 018,364
E02000825,Southwark 019,336
E02000826,Southwark 020,355
E02000827,Southwark 021,351
E02000828,Southwark 022,360
E02000829,Southwark 023,555
E02000830,Southwark 024,803
E02000831,Southwark 025,609
E02000832,Southwark 026,489
E02000833,Southwark 027,385
E02000834,Southwark 028,926
E02000835,Southwark 029,541
E02000836,Southwark 030,987
E02000837,Southwark 031,1573
E02000838,Southwark 032,898
E02000839,Southwark 033,813
E02000840,Sutton 001,205
E02000841,Sutton 002,202
E02000842,Sutton 003,667
E02000843,Sutton 004,340
E02000844,Sutton 005,373
E02000845,Sutton 006,746
E02000846,Sutton 007,538
E02000847,Sutton 008,935
E02000848,Sutton 009,729
E02000849,Sutton 010,505
E02000850,Sutton 011,739
E02000851,Sutton 012,314
E02000852,Sutton 013,515
E02000853,Sutton 014,452
E02000854,Sutton 015,804
E02000855,Sutton 016,1114
E02000856,Sutton 017,1076
E02000857,Sutton 018,391
E02000858,Sutton 019,356
E02000859,Sutton 020,924
E02000860,Sutton 021,261
E02000861,Sutton 022,1593
E02000863,Sutton 024,1109
E02000864,Tower Hamlets 001,330
E02000865,Tower Hamlets 002,329
E02000866,Tower Hamlets 003,620
E02000867,Tower Hamlets 004,387
E02000868,Tower Hamlets 005,244
E02000869,Tower Hamlets 006,191
E02000870,Tower Hamlets 007,196
E02000871,Tower Hamlets 008,362
E02000872,Tower Hamlets 009,283
E02000873,Tower Hamlets 010,298
E02000874,Tower Hamlets 011,234
E02000875,Tower Hamlets 012,362
E02000876,Tower Hamlets 013,270
E02000877,Tower Hamlets 014,520
E02000878,Tower Hamlets 015,410
E02000879,Tower Hamlets 016,329
E02000880,Tower Hamlets 017,260
E02000881,Tower Hamlets 018,345
E02000882,Tower Hamlets 019,499
