Middle layer Super Output Areas Code,Middle layer Super Output Areas,No_cars
E02006556,Arun 015,543
E02006557,Arun 016,726
E02006558,Arun 017,1852
E02006559,Arun 018,443
E02006560,Arun 019,672
E02006561,Chichester 001,195
E02006562,Chichester 002,132
E02006563,Chichester 003,176
E02006564,Chichester 004,481
E02006565,Chichester 005,301
E02006566,Chichester 006,380
E02006567,Chichester 007,334
E02006568,Chichester 008,1402
E02006569,Chichester 009,343
E02006570,Chichester 010,1297
E02006571,Chichester 011,439
E02006572,Chichester 012,665
E02006573,Chichester 013,620
E02006574,Chichester 014,851
E02006575,Crawley 001,656
E02006576,Crawley 002,444
E02006577,Crawley 003,837
E02006578,Crawley 004,1574
E02006579,Crawley 005,630
E02006580,Crawley 006,553
E02006581,Crawley 007,1165
E02006582,Crawley 008,192
E02006583,Crawley 009,641
E02006584,Crawley 010,618
E02006585,Crawley 011,706
E02006586,Crawley 012,481
E02006587,Crawley 013,873
E02006588,Horsham 001,533
E02006589,Horsham 002,364
E02006590,Horsham 003,509
E02006591,Horsham 004,627
E02006592,Horsham 005,154
E02006593,Horsham 006,1393
E02006594,Horsham 007,509
E02006595,Horsham 008,252
E02006596,Horsham 009,286
E02006597,Horsham 010,487
E02006598,Horsham 011,117
E02006599,Horsham 012,171
E02006600,Horsham 013,640
E02006601,Horsham 014,428
E02006602,Horsham 015,168
E02006603,Horsham 016,373
E02006604,Mid Sussex 001,1157
E02006605,Mid Sussex 002,185
E02006606,Mid Sussex 003,224
E02006607,Mid Sussex 004,315
E02006608,Mid Sussex 005,206
E02006609,Mid Sussex 006,180
E02006610,Mid Sussex 007,215
E02006611,Mid Sussex 008,446
E02006612,Mid Sussex 009,1030
E02006613,Mid Sussex 010,591
E02006614,Mid Sussex 011,516
E02006615,Mid Sussex 012,242
E02006616,Mid Sussex 013,497
E02006617,Mid Sussex 014,1022
E02006618,Mid Sussex 015,224
E02006619,Mid Sussex 016,249
E02006620,Mid Sussex 017,542
E02006621,Worthing 001,313
E02006622,Worthing 002,561
E02006623,Worthing 003,610
E02006624,Worthing 004,295
E02006625,Worthing 005,591
E02006626,Worthing 006,585
E02006627,Worthing 007,736
E02006628,Worthing 008,1096
E02006629,Worthing 009,853
E02006630,Worthing 010,1561
E02006631,Worthing 011,2275
E02006632,Worthing 012,734
E02006633,Worthing 013,608
E02006782,Bromley 040,712
E02006783,Lewisham 037,1065
E02006784,Lewisham 038,1159
E02006785,Bexley 029,577
E02006786,Greenwich 033,1077
E02006787,Bromley 041,647
E02006788,Croydon 045,924
E02006789,Bromley 042,320
E02006790,Tandridge 012,367
E02006791,Ealing 040,1526
E02006792,Hounslow 029,2003
E02006793,Enfield 037,1557
E02006794,Haringey 037,1874
E02006795,Harrow 032,485
E02006796,Hillingdon 033,693
E02006798,Lewisham 039,2390
E02006799,Barking and Dagenham 023,1136
E02006800,Redbridge 034,1335
E02006801,Lambeth 036,2715
E02006802,Southwark 034,2886
E02006821,Portsmouth 026,319
E02006822,Havant 018,534
E02006823,Buckinghamshire 039,231
E02006824,Buckinghamshire 036,339
E02006825,East Cambridgeshire 011,211
E02006826,West Suffolk 015,1103
E02006829,East Hampshire 016,255
E02006830,Havant 019,573
E02006831,Havant 020,333
E02006832,Sevenoaks 016,212
E02006833,Tonbridge and Malling 014,488
E02006836,Sutton 025,368
E02006837,Epsom and Ewell 010,489
E02006838,East Hampshire 017,192
E02006839,Waverley 018,259
E02006853,Tower Hamlets 032,3815
E02006854,Tower Hamlets 033,2617
E02006855,Canterbury 019,758
E02006856,Canterbury 020,1993
E02006857,Eastbourne 013,799
E02006858,Eastbourne 014,493
E02006859,Thurrock 019,301
E02006873,South Cambridgeshire 020,276
E02006874,South Cambridgeshire 021,285
E02006877,Peterborough 022,677
E02006878,Peterborough 023,566
E02006879,Folkestone and Hythe 014,1783
E02006880,Folkestone and Hythe 015,1235
E02006882,Harrow 033,659
E02006886,Vale of White Horse 016,413
E02006907,Norwich 014,2022
E02006908,Norwich 015,1011
E02006918,Hackney 028,1936
E02006921,Hackney 029,1707
E02006922,Colchester 022,1099
E02006924,Redbridge 035,1125
E02006925,Redbridge 036,634
E02006926,Thurrock 020,213
E02006927,Greenwich 034,1905
E02006928,Greenwich 035,3375
E02006930,Greenwich 037,2130
E02006931,Greenwich 038,1999
E02006937,Luton 022,1766
E02006938,Luton 023,1916
E02006939,Reading 019,1893
E02006940,Reading 020,1849
E02006941,Southwark 035,2001
E02006942,Southwark 036,2490
E02006953,Barnet 042,1847
E02006954,Barnet 043,1522
E02006955,Brent 035,1782
E02006956,Brent 036,996
E02006968,Ealing 041,1370
E02006969,Ealing 042,1535
E02006970,Ealing 043,981
E02006971,Ealing 044,722
E02006972,Hounslow 030,937
E02006973,Hounslow 031,1584
E02006975,Portsmouth 027,1572
E02006976,Portsmouth 028,1272
E02006978,Chelmsford 022,1024
E02006979,Chelmsford 023,1071
E02006980,Rochford 011,265
E02006981,Rochford 012,429
E02006987,Croydon 046,2640
E02006988,Croydon 047,1579
E02006991,Greenwich 039,2089
E02006992,Greenwich 040,2214
E02006993,Greenwich 041,2306
E02006994,Greenwich 042,1973
E02006995,Newham 038,2211
E02006996,Newham 039,2092
E02006997,Newham 040,2287
E02006998,Newham 041,1301
E02006999,Newham 042,3039
E02007004,Thurrock 021,484
E02007005,Thurrock 022,528
E02007008,Lewisham 040,1948
E02007009,Lewisham 041,2402
E02007010,Bedford 021,330
E02007011,Bedford 022,259
E02007012,Milton Keynes 033,320
E02007013,Milton Keynes 034,386
E02007014,Milton Keynes 035,410
E02007015,Milton Keynes 036,380
E02007016,Milton Keynes 037,389
E02007017,Redbridge 037,543
E02007018,Redbridge 038,809
E02007019,Redbridge 039,1322
E02007020,Redbridge 040,861
E02007021,Oxford 020,652
E02007032,North Norfolk 015,640
E02007033,North Norfolk 016,524
E02007046,Ashford 015,713
E02007047,Ashford 016,397
E02007052,Norwich 016,1812
E02007053,Norwich 017,1549
E02007054,South Norfolk 016,295
E02007055,South Norfolk 017,533
E02007056,Colchester 023,368
E02007057,Colchester 024,590
E02007068,Slough 015,768
E02007069,Slough 016,513
E02007074,Southampton 033,1556
E02007075,Southampton 034,1049
E02007076,Test Valley 016,311
E02007077,Test Valley 017,282
E02007078,Test Valley 018,695
E02007083,Wandsworth 038,2906
E02007084,Wandsworth 039,2670
E02007085,South Cambridgeshire 022,631
E02007086,Cambridge 015,917
E02007087,Cambridge 014,1086
E02007088,North Hertfordshire 016,186
E02007089,North Hertfordshire 017,207
E02007090,St Albans 021,236
E02007091,Stevenage 013,268
E02007092,Welwyn Hatfield 017,371
E02007093,East Hertfordshire 019,204
E02007108,Hackney 030,2114
E02007109,Hackney 031,2050
E02007110,Hackney 032,2642
E02007111,Hackney 033,2284
E02007112,Tower Hamlets 034,2244
E02007113,Tower Hamlets 035,2304
E02007114,Tower Hamlets 036,2073
E02007115,Camden 029,3534
E02007116,Oxford 019,906
