Middle layer Super Output Areas Code,Middle layer Super Output Areas,No_cars
E02000699,Merton 011,1004
E02000700,Merton 012,1410
E02000701,Merton 013,1118
E02000702,Merton 014,1147
E02000703,Merton 015,679
E02000704,Merton 016,1324
E02000705,Merton 017,809
E02000706,Merton 018,1516
E02000707,Merton 019,823
E02000708,Merton 020,666
E02000709,Merton 021,505
E02000710,Merton 022,1155
E02000711,Merton 023,1176
E02000712,Merton 024,1055
E02000713,Merton 025,460
E02000714,Newham 001,1262
E02000715,Newham 002,988
E02000716,Newham 003,1053
E02000717,Newham 004,1186
E02000718,Newham 005,1009
E02000719,Newham 006,1545
E02000720,Newham 007,874
E02000721,Newham 008,1418
E02000722,Newham 009,1730
E02000723,Newham 010,1247
E02000724,Newham 011,1037
E02000725,Newham 012,2682
E02000727,Newham 014,1105
E02000728,Newham 015,991
E02000729,Newham 016,1049
E02000730,Newham 017,1212
E02000731,Newham 018,1412
E02000732,Newham 019,1430
E02000733,Newham 020,1835
E02000734,Newham 021,1314
E02000735,Newham 022,1402
E02000736,Newham 023,1126
E02000737,Newham 024,1284
E02000738,Newham 025,1168
E02000739,Newham 026,1273
E02000740,Newham 027,1361
E02000741,Newham 028,1264
E02000742,Newham 029,1028
E02000743,Newham 030,2099
E02000744,Newham 031,1772
E02000745,Newham 032,1139
E02000746,Newham 033,1559
E02000747,Newham 034,3437
E02000748,Newham 035,881
E02000749,Newham 036,1601
E02000751,Redbridge 001,765
E02000752,Redbridge 002,811
E02000753,Redbridge 003,603
E02000754,Redbridge 004,567
E02000755,Redbridge 005,451
E02000756,Redbridge 006,1167
E02000757,Redbridge 007,1476
E02000758,Redbridge 008,452
E02000759,Redbridge 009,1184
E02000760,Redbridge 010,681
E02000762,Redbridge 012,402
E02000763,Redbridge 013,590
E02000764,Redbridge 014,1703
E02000765,Redbridge 015,729
E02000767,Redbridge 017,690
E02000768,Redbridge 018,454
E02000770,Redbridge 020,667
E02000772,Redbridge 022,808
E02000773,Redbridge 023,862
E02000774,Redbridge 024,786
E02000776,Redbridge 026,632
E02000777,Redbridge 027,602
E02000779,Redbridge 029,1306
E02000781,Redbridge 031,997
E02000782,Redbridge 032,1691
E02000783,Redbridge 033,823
E02000784,Richmond upon Thames 001,1103
E02000785,Richmond upon Thames 002,1100
E02000786,Richmond upon Thames 003,1510
E02000787,Richmond upon Thames 004,1598
E02000788,Richmond upon Thames 005,924
E02000789,Richmond upon Thames 006,1053
E02000790,Richmond upon Thames 007,655
E02000791,Richmond upon Thames 008,1117
E02000792,Richmond upon Thames 009,906
E02000793,Richmond upon Thames 010,674
E02000794,Richmond upon Thames 011,573
E02000795,Richmond upon Thames 012,442
E02000796,Richmond upon Thames 013,840
E02000797,Richmond upon Thames 014,1133
