Middle layer Super Output Areas Code,Middle layer Super Output Areas,Flats
E02006561,Chichester 001,165
E02006562,Chichester 002,155
E02006563,Chichester 003,112
E02006564,Chichester 004,576
E02006565,Chichester 005,304
E02006566,Chichester 006,324
E02006567,Chichester 007,173
E02006568,Chichester 008,1630
E02006569,Chichester 009,210
E02006570,Chichester 010,1418
E02006571,Chichester 011,365
E02006572,Chichester 012,603
E02006573,Chichester 013,451
E02006574,Chichester 014,507
E02006575,Crawley 001,404
E02006576,Crawley 002,765
E02006577,Crawley 003,1023
E02006578,Crawley 004,2246
E02006579,Crawley 005,636
E02006580,Crawley 006,557
E02006581,Crawley 007,1588
E02006582,Crawley 008,314
E02006583,Crawley 009,754
E02006584,Crawley 010,839
E02006585,Crawley 011,522
E02006586,Crawley 012,235
E02006587,Crawley 013,924
E02006588,Horsham 001,1325
E02006589,Horsham 002,237
E02006590,Horsham 003,882
E02006591,Horsham 004,985
E02006592,Horsham 005,176
E02006593,Horsham 006,2115
E02006594,Horsham 007,740
E02006595,Horsham 008,253
E02006596,Horsham 009,410
E02006597,Horsham 010,617
E02006598,Horsham 011,107
E02006599,Horsham 012,96
E02006600,Horsham 013,907
E02006601,Horsham 014,429
E02006602,Horsham 015,115
E02006603,Horsham 016,329
E02006604,Mid Sussex 001,1874
E02006605,Mid Sussex 002,236
E02006606,Mid Sussex 003,199
E02006607,Mid Sussex 004,357
E02006608,Mid Sussex 005,164
E02006609,Mid Sussex 006,166
E02006610,Mid Sussex 007,326
E02006611,Mid Sussex 008,431
E02006612,Mid Sussex 009,2259
E02006613,Mid Sussex 010,703
E02006614,Mid Sussex 011,715
E02006615,Mid Sussex 012,181
E02006616,Mid Sussex 013,445
E02006617,Mid Sussex 014,1022
E02006618,Mid Sussex 015,84
E02006619,Mid Sussex 016,216
E02006620,Mid Sussex 017,449
E02006621,Worthing 001,148
E02006622,Worthing 002,654
E02006623,Worthing 003,536
E02006624,Worthing 004,339
E02006625,Worthing 005,470
E02006626,Worthing 006,406
E02006627,Worthing 007,1056
E02006628,Worthing 008,936
E02006629,Worthing 009,633
E02006630,Worthing 010,2451
E02006631,Worthing 011,2033
E02006632,Worthing 012,1484
E02006633,Worthing 013,671
E02006782,Bromley 040,462
E02006783,Lewisham 037,256
E02006784,Lewisham 038,888
E02006785,Bexley 029,470
E02006786,Greenwich 033,765
E02006787,Bromley 041,332
E02006788,Croydon 045,510
E02006789,Bromley 042,281
E02006790,Tandridge 012,500
E02006791,Ealing 040,1336
E02006792,Hounslow 029,1854
E02006793,Enfield 037,1813
E02006794,Haringey 037,1854
E02006795,Harrow 032,322
E02006796,Hillingdon 033,1112
E02006798,Lewisham 039,2706
E02006799,Barking and Dagenham 023,449
E02006800,Redbridge 034,905
E02006801,Lambeth 036,2909
E02006802,Southwark 034,3121
E02006821,Portsmouth 026,272
E02006822,Havant 018,305
E02006823,Buckinghamshire 039,233
E02006824,Buckinghamshire 036,390
E02006825,East Cambridgeshire 011,62
E02006826,West Suffolk 015,1211
E02006829,East Hampshire 016,247
E02006830,Havant 019,740
E02006831,Havant 020,227
E02006832,Sevenoaks 016,177
E02006833,Tonbridge and Malling 014,538
E02006836,Sutton 025,576
E02006837,Epsom and Ewell 010,774
E02006838,East Hampshire 017,260
E02006839,Waverley 018,413
E02006853,Tower Hamlets 032,4657
E02006854,Tower Hamlets 033,3307
E02006855,Canterbury 019,574
E02006856,Canterbury 020,1675
E02006857,Eastbourne 013,881
E02006858,Eastbourne 014,1495
E02006859,Thurrock 019,845
E02006873,South Cambridgeshire 020,404
E02006874,South Cambridgeshire 021,192
E02006877,Peterborough 022,737
E02006878,Peterborough 023,687
E02006879,Folkestone and Hythe 014,1717
E02006880,Folkestone and Hythe 015,1349
E02006882,Harrow 033,260
E02006886,Vale of White Horse 016,322
E02006907,Norwich 014,2697
E02006908,Norwich 015,1467
E02006918,Hackney 028,2395
E02006921,Hackney 029,1967
E02006922,Colchester 022,609
E02006924,Redbridge 035,733
E02006925,Redbridge 036,468
E02006926,Thurrock 020,528
E02006927,Greenwich 034,2653
E02006928,Greenwich 035,4791
E02006930,Greenwich 037,1880
E02006931,Greenwich 038,1748
E02006937,Luton 022,2121
E02006938,Luton 023,2086
E02006939,Reading 019,2181
E02006940,Reading 020,2409
E02006941,Southwark 035,2030
E02006942,Southwark 036,2798
E02006953,Barnet 042,3490
E02006954,Barnet 043,2439
E02006955,Brent 035,2327
E02006956,Brent 036,853
E02006968,Ealing 041,1257
E02006969,Ealing 042,1760
E02006970,Ealing 043,723
E02006971,Ealing 044,360
E02006972,Hounslow 030,1738
E02006973,Hounslow 031,2814
E02006975,Portsmouth 027,2162
E02006976,Portsmouth 028,1679
E02006978,Chelmsford 022,1909
E02006979,Chelmsford 023,2232
E02006980,Rochford 011,38
E02006981,Rochford 012,326
E02006987,Croydon 046,3095
E02006988,Croydon 047,1801
E02006991,Greenwich 039,2598
E02006992,Greenwich 040,2857
E02006993,Greenwich 041,3035
E02006994,Greenwich 042,2425
E02006995,Newham 038,2990
E02006996,Newham 039,2268
E02006997,Newham 040,2740
E02006998,Newham 041,1877
E02006999,Newham 042,4472
E02007004,Thurrock 021,1405
E02007005,Thurrock 022,1024
E02007008,Lewisham 040,2325
E02007009,Lewisham 041,2055
E02007010,Bedford 021,223
E02007011,Bedford 022,316
E02007012,Milton Keynes 033,950
E02007013,Milton Keynes 034,957
E02007014,Milton Keynes 035,415
E02007015,Milton Keynes 036,959
E02007016,Milton Keynes 037,572
E02007017,Redbridge 037,550
E02007018,Redbridge 038,1020
E02007019,Redbridge 039,1296
E02007020,Redbridge 040,234
E02007021,Oxford 020,497
E02007032,North Norfolk 015,333
E02007033,North Norfolk 016,365
E02007046,Ashford 015,567
E02007047,Ashford 016,634
E02007052,Norwich 016,2251
E02007053,Norwich 017,1646
E02007054,South Norfolk 016,475
E02007055,South Norfolk 017,323
E02007056,Colchester 023,602
E02007057,Colchester 024,934
E02007068,Slough 015,1021
E02007069,Slough 016,578
E02007074,Southampton 033,2381
E02007075,Southampton 034,2545
E02007076,Test Valley 016,460
E02007077,Test Valley 017,341
E02007078,Test Valley 018,923
E02007083,Wandsworth 038,4013
E02007084,Wandsworth 039,3221
E02007085,South Cambridgeshire 022,274
E02007086,Cambridge 015,1540
E02007087,Cambridge 014,1382
E02007088,North Hertfordshire 016,88
E02007089,North Hertfordshire 017,278
E02007090,St Albans 021,290
E02007091,Stevenage 013,107
E02007092,Welwyn Hatfield 017,388
E02007093,East Hertfordshire 019,197
E02007108,Hackney 030,1608
E02007109,Hackney 031,1682
E02007110,Hackney 032,3080
E02007111,Hackney 033,2157
E02007112,Tower Hamlets 034,2826
E02007113,Tower Hamlets 035,3042
E02007114,Tower Hamlets 036,2670
E02007115,Camden 029,3479
E02007116,Oxford 019,843
