Middle layer Super Output Areas Code,Middle layer Super Output Areas,Flats
E02000707,Merton 019,620
E02000708,Merton 020,470
E02000709,Merton 021,334
E02000710,Merton 022,1325
E02000711,Merton 023,897
E02000712,Merton 024,753
E02000713,Merton 025,329
E02000714,Newham 001,794
E02000715,Newham 002,657
E02000716,Newham 003,637
E02000717,Newham 004,880
E02000718,Newham 005,1142
E02000719,Newham 006,1228
E02000720,Newham 007,270
E02000721,Newham 008,799
E02000722,Newham 009,1292
E02000723,Newham 010,350
E02000724,Newham 011,309
E02000725,Newham 012,2488
E02000727,Newham 014,512
E02000728,Newham 015,282
E02000729,Newham 016,451
E02000730,Newham 017,417
E02000731,Newham 018,505
E02000732,Newham 019,1321
E02000733,Newham 020,1684
E02000734,Newham 021,1277
E02000735,Newham 022,826
E02000736,Newham 023,707
E02000737,Newham 024,798
E02000738,Newham 025,533
E02000739,Newham 026,808
E02000740,Newham 027,1218
E02000741,Newham 028,508
E02000742,Newham 029,723
E02000743,Newham 030,2273
E02000744,Newham 031,1232
E02000745,Newham 032,818
E02000746,Newham 033,2088
E02000747,Newham 034,4115
E02000748,Newham 035,494
E02000749,Newham 036,1598
E02000751,Redbridge 001,1306
E02000752,Redbridge 002,895
E02000753,Redbridge 003,420
E02000754,Redbridge 004,536
E02000755,Redbridge 005,451
E02000756,Redbridge 006,1143
E02000757,Redbridge 007,2181
E02000758,Redbridge 008,443
E02000759,Redbridge 009,1557
E02000760,Redbridge 010,704
E02000762,Redbridge 012,355
E02000763,Redbridge 013,677
E02000764,Redbridge 014,2244
E02000765,Redbridge 015,598
E02000767,Redbridge 017,623
E02000768,Redbridge 018,407
E02000770,Redbridge 020,551
E02000772,Redbridge 022,606
E02000773,Redbridge 023,773
E02000774,Redbridge 024,305
E02000776,Redbridge 026,294
E02000777,Redbridge 027,664
E02000779,Redbridge 029,760
E02000781,Redbridge 031,546
E02000782,Redbridge 032,1577
E02000783,Redbridge 033,478
E02000784,Richmond upon Thames 001,1151
E02000785,Richmond upon Thames 002,933
E02000786,Richmond upon Thames 003,1972
E02000787,Richmond upon Thames 004,2187
E02000788,Richmond upon Thames 005,655
E02000789,Richmond upon Thames 006,1045
E02000790,Richmond upon Thames 007,678
E02000791,Richmond upon Thames 008,1085
E02000792,Richmond upon Thames 009,1055
E02000793,Richmond upon Thames 010,525
E02000794,Richmond upon Thames 011,651
E02000795,Richmond upon Thames 012,404
E02000796,Richmond upon Thames 013,839
E02000797,Richmond upon Thames 014,937
E02000798,Richmond upon Thames 015,836
E02000799,Richmond upon Thames 016,699
E02000800,Richmond upon Thames 017,728
E02000801,Richmond upon Thames 018,748
E02000802,Richmond upon Thames 019,797
E02000803,Richmond upon Thames 020,969
E02000804,Richmond upon Thames 021,984
E02000805,Richmond upon Thames 022,1996
E02000806,Richmond upon Thames 023,847
E02000807,Southwark 001,2267
E02000808,Southwark 002,3968
E02000810,Southwark 004,4676
E02000812,Southwark 006,3813
E02000813,Southwark 007,3700
E02000814,Southwark 008,3383
E02000815,Southwark 009,2792
E02000816,Southwark 010,2946
E02000817,Southwark 011,2278
E02000818,Southwark 012,3346
E02000819,Southwark 013,2742
E02000820,Southwark 014,3269
E02000821,Southwark 015,2331
E02000822,Southwark 016,2280
E02000823,Southwark 017,2436
E02000824,Southwark 018,2917
E02000825,Southwark 019,2992
E02000826,Southwark 020,2825
E02000827,Southwark 021,4102
E02000828,Southwark 022,2236
E02000829,Southwark 023,2393
E02000830,Southwark 024,1349
E02000831,Southwark 025,1440
E02000832,Southwark 026,1745
E02000833,Southwark 027,2263
E02000834,Southwark 028,871
E02000835,Southwark 029,969
E02000836,Southwark 030,316
E02000837,Southwark 031,344
E02000838,Southwark 032,1387
E02000839,Southwark 033,1954
E02000840,Sutton 001,729
E02000841,Sutton 002,565
E02000842,Sutton 003,350
E02000843,Sutton 004,2044
E02000844,Sutton 005,636
E02000845,Sutton 006,644
E02000846,Sutton 007,481
E02000847,Sutton 008,624
E02000848,Sutton 009,344
E02000849,Sutton 010,1021
E02000850,Sutton 011,537
E02000851,Sutton 012,3365
E02000852,Sutton 013,736
E02000853,Sutton 014,812
E02000854,Sutton 015,664
E02000855,Sutton 016,672
E02000856,Sutton 017,1261
E02000857,Sutton 018,2841
E02000858,Sutton 019,1393
E02000859,Sutton 020,1478
E02000860,Sutton 021,3276
E02000861,Sutton 022,370
