Middle layer Super Output Areas Code,Middle layer Super Output Areas,3_bedrooms
E02000518,Hillingdon 025,1624
E02000519,Hillingdon 026,1196
E02000520,Hillingdon 027,1732
E02000521,Hillingdon 028,2008
E02000522,Hillingdon 029,1341
E02000523,Hillingdon 030,1499
E02000524,Hillingdon 031,961
E02000525,Hillingdon 032,1021
E02000526,Hounslow 001,760
E02000529,Hounslow 004,1104
E02000530,Hounslow 005,910
E02000531,Hounslow 006,1319
E02000532,Hounslow 007,921
E02000533,Hounslow 008,850
E02000534,Hounslow 009,774
E02000535,Hounslow 010,1367
E02000536,Hounslow 011,1317
E02000537,Hounslow 012,1010
E02000538,Hounslow 013,1240
E02000539,Hounslow 014,1389
E02000540,Hounslow 015,1078
E02000541,Hounslow 016,1212
E02000542,Hounslow 017,1010
E02000543,Hounslow 018,1045
E02000544,Hounslow 019,1472
E02000545,Hounslow 020,1118
E02000546,Hounslow 021,1211
E02000547,Hounslow 022,1438
E02000548,Hounslow 023,1319
E02000549,Hounslow 024,1980
E02000550,Hounslow 025,1359
E02000551,Hounslow 026,1310
E02000552,Hounslow 027,1226
E02000553,Hounslow 028,1102
E02000554,Islington 001,890
E02000555,Islington 002,993
E02000556,Islington 003,997
E02000557,Islington 004,705
E02000558,Islington 005,901
E02000559,Islington 006,758
E02000560,Islington 007,526
E02000561,Islington 008,532
E02000562,Islington 009,646
E02000563,Islington 010,724
E02000564,Islington 011,849
E02000565,Islington 012,762
E02000566,Islington 013,711
E02000567,Islington 014,926
E02000568,Islington 015,871
E02000569,Islington 016,999
E02000570,Islington 017,736
E02000571,Islington 018,828
E02000572,Islington 019,875
E02000573,Islington 020,948
E02000574,Islington 021,536
E02000575,Islington 022,888
E02000576,Islington 023,831
E02000577,Kensington and Chelsea 001,703
E02000578,Kensington and Chelsea 002,543
E02000579,Kensington and Chelsea 003,789
E02000580,Kensington and Chelsea 004,605
E02000581,Kensington and Chelsea 005,839
E02000582,Kensington and Chelsea 006,428
E02000583,Kensington and Chelsea 007,563
E02000584,Kensington and Chelsea 008,696
E02000585,Kensington and Chelsea 009,592
E02000586,Kensington and Chelsea 010,674
E02000587,Kensington and Chelsea 011,595
