Middle layer Super Output Areas Code,Middle layer Super Output Areas,3_or_more_cars
E02006607,Mid Sussex 004,480
E02006608,Mid Sussex 005,507
E02006609,Mid Sussex 006,567
E02006610,Mid Sussex 007,581
E02006611,Mid Sussex 008,467
E02006612,Mid Sussex 009,291
E02006613,Mid Sussex 010,270
E02006614,Mid Sussex 011,641
E02006615,Mid Sussex 012,391
E02006616,Mid Sussex 013,473
E02006617,Mid Sussex 014,338
E02006618,Mid Sussex 015,391
E02006619,Mid Sussex 016,660
E02006620,Mid Sussex 017,480
E02006621,Worthing 001,596
E02006622,Worthing 002,380
E02006623,Worthing 003,318
E02006624,Worthing 004,431
E02006625,Worthing 005,286
E02006626,Worthing 006,367
E02006627,Worthing 007,397
E02006628,Worthing 008,217
E02006629,Worthing 009,199
E02006630,Worthing 010,159
E02006631,Worthing 011,130
E02006632,Worthing 012,315
E02006633,Worthing 013,393
E02006782,Bromley 040,231
E02006783,Lewisham 037,90
E02006784,Lewisham 038,137
E02006785,Bexley 029,198
E02006786,Greenwich 033,118
E02006787,Bromley 041,192
E02006788,Croydon 045,99
E02006789,Bromley 042,529
E02006790,Tandridge 012,532
E02006791,Ealing 040,38
E02006792,Hounslow 029,72
E02006793,Enfield 037,93
E02006794,Haringey 037,29
E02006795,Harrow 032,204
E02006796,Hillingdon 033,286
E02006798,Lewisham 039,31
E02006799,Barking and Dagenham 023,206
E02006800,Redbridge 034,319
E02006801,Lambeth 036,22
E02006802,Southwark 034,23
E02006821,Portsmouth 026,345
E02006822,Havant 018,526
E02006823,Buckinghamshire 039,736
E02006824,Buckinghamshire 036,667
E02006825,East Cambridgeshire 011,447
E02006826,West Suffolk 015,310
E02006829,East Hampshire 016,536
E02006830,Havant 019,297
E02006831,Havant 020,461
E02006832,Sevenoaks 016,363
E02006833,Tonbridge and Malling 014,807
E02006836,Sutton 025,453
E02006837,Epsom and Ewell 010,596
E02006838,East Hampshire 017,674
E02006839,Waverley 018,749
E02006853,Tower Hamlets 032,30
E02006854,Tower Hamlets 033,17
E02006855,Canterbury 019,115
E02006856,Canterbury 020,170
E02006857,Eastbourne 013,309
E02006858,Eastbourne 014,227
E02006859,Thurrock 019,235
E02006873,South Cambridgeshire 020,309
E02006874,South Cambridgeshire 021,607
E02006877,Peterborough 022,346
E02006878,Peterborough 023,379
E02006879,Folkestone and Hythe 014,59
E02006880,Folkestone and Hythe 015,124
E02006882,Harrow 033,504
E02006886,Vale of White Horse 016,953
E02006907,Norwich 014,64
E02006908,Norwich 015,79
E02006918,Hackney 028,27
E02006921,Hackney 029,15
E02006922,Colchester 022,601
E02006924,Redbridge 035,398
E02006925,Redbridge 036,560
E02006926,Thurrock 020,399
E02006927,Greenwich 034,193
E02006928,Greenwich 035,19
E02006930,Greenwich 037,47
E02006931,Greenwich 038,53
E02006937,Luton 022,89
E02006938,Luton 023,37
E02006939,Reading 019,30
E02006940,Reading 020,55
E02006941,Southwark 035,28
E02006942,Southwark 036,8
E02006953,Barnet 042,42
E02006954,Barnet 043,117
E02006955,Brent 035,30
E02006956,Brent 036,145
E02006968,Ealing 041,140
E02006969,Ealing 042,51
E02006970,Ealing 043,67
E02006971,Ealing 044,191
E02006972,Hounslow 030,42
E02006973,Hounslow 031,62
E02006975,Portsmouth 027,27
E02006976,Portsmouth 028,47
E02006978,Chelmsford 022,106
E02006979,Chelmsford 023,78
E02006980,Rochford 011,558
E02006981,Rochford 012,523
E02006987,Croydon 046,17
E02006988,Croydon 047,50
E02006991,Greenwich 039,14
E02006992,Greenwich 040,30
E02006993,Greenwich 041,22
E02006994,Greenwich 042,36
E02006995,Newham 038,14
E02006996,Newham 039,21
E02006997,Newham 040,17
E02006998,Newham 041,35
E02006999,Newham 042,31
E02007004,Thurrock 021,155
E02007005,Thurrock 022,199
E02007008,Lewisham 040,14
E02007009,Lewisham 041,40
E02007010,Bedford 021,482
E02007011,Bedford 022,320
E02007012,Milton Keynes 033,228
E02007013,Milton Keynes 034,243
E02007014,Milton Keynes 035,254
E02007015,Milton Keynes 036,284
E02007016,Milton Keynes 037,319
E02007017,Redbridge 037,217
E02007018,Redbridge 038,122
E02007019,Redbridge 039,39
E02007020,Redbridge 040,172
E02007021,Oxford 020,213
E02007032,North Norfolk 015,319
E02007033,North Norfolk 016,293
E02007046,Ashford 015,240
E02007047,Ashford 016,346
E02007052,Norwich 016,48
E02007053,Norwich 017,36
E02007054,South Norfolk 016,335
E02007055,South Norfolk 017,400
E02007056,Colchester 023,262
E02007057,Colchester 024,185
E02007068,Slough 015,146
E02007069,Slough 016,251
E02007074,Southampton 033,35
E02007075,Southampton 034,48
E02007076,Test Valley 016,290
E02007077,Test Valley 017,254
E02007078,Test Valley 018,182
E02007083,Wandsworth 038,14
E02007084,Wandsworth 039,28
E02007085,South Cambridgeshire 022,505
E02007086,Cambridge 015,144
E02007087,Cambridge 014,74
E02007088,North Hertfordshire 016,662
E02007089,North Hertfordshire 017,387
E02007090,St Albans 021,341
E02007091,Stevenage 013,374
E02007092,Welwyn Hatfield 017,288
E02007093,East Hertfordshire 019,752
E02007108,Hackney 030,7
E02007109,Hackney 031,32
E02007110,Hackney 032,11
E02007111,Hackney 033,7
E02007112,Tower Hamlets 034,18
E02007113,Tower Hamlets 035,6
E02007114,Tower Hamlets 036,11
E02007115,Camden 029,17
E02007116,Oxford 019,181
