Middle layer Super Output Areas Code,Middle layer Super Output Areas,3_or_more_cars
E02000695,Merton 007,123
E02000696,Merton 008,101
E02000697,Merton 009,55
E02000698,Merton 010,178
E02000699,Merton 011,77
E02000700,Merton 012,86
E02000701,Merton 013,129
E02000702,Merton 014,127
E02000703,Merton 015,132
E02000704,Merton 016,91
E02000705,Merton 017,190
E02000706,Merton 018,104
E02000707,Merton 019,186
E02000708,Merton 020,146
E02000709,Merton 021,211
E02000710,Merton 022,169
E02000711,Merton 023,133
E02000712,Merton 024,191
E02000713,Merton 025,270
E02000714,Newham 001,56
E02000715,Newham 002,38
E02000716,Newham 003,66
E02000717,Newham 004,58
E02000718,Newham 005,50
E02000719,Newham 006,43
E02000720,Newham 007,83
E02000721,Newham 008,86
E02000722,Newham 009,34
E02000723,Newham 010,83
E02000724,Newham 011,110
E02000725,Newham 012,29
E02000727,Newham 014,69
E02000728,Newham 015,62
E02000729,Newham 016,102
E02000730,Newham 017,149
E02000731,Newham 018,66
E02000732,Newham 019,42
E02000733,Newham 020,50
E02000734,Newham 021,53
E02000735,Newham 022,46
E02000736,Newham 023,60
E02000737,Newham 024,65
E02000738,Newham 025,66
E02000739,Newham 026,45
E02000740,Newham 027,31
E02000741,Newham 028,67
E02000742,Newham 029,66
E02000743,Newham 030,38
E02000744,Newham 031,37
E02000745,Newham 032,71
E02000746,Newham 033,71
E02000747,Newham 034,45
E02000748,Newham 035,36
E02000749,Newham 036,53
E02000751,Redbridge 001,399
E02000752,Redbridge 002,170
E02000753,Redbridge 003,162
E02000754,Redbridge 004,147
E02000755,Redbridge 005,159
E02000756,Redbridge 006,371
E02000757,Redbridge 007,228
E02000758,Redbridge 008,248
E02000759,Redbridge 009,253
E02000760,Redbridge 010,174
E02000762,Redbridge 012,226
E02000763,Redbridge 013,189
E02000764,Redbridge 014,246
E02000765,Redbridge 015,127
E02000767,Redbridge 017,155
E02000768,Redbridge 018,117
E02000770,Redbridge 020,193
E02000772,Redbridge 022,173
E02000773,Redbridge 023,201
E02000774,Redbridge 024,130
E02000776,Redbridge 026,143
E02000777,Redbridge 027,110
E02000779,Redbridge 029,137
E02000781,Redbridge 031,474
E02000782,Redbridge 032,91
E02000783,Redbridge 033,80
