Middle layer Super Output Areas Code,Middle layer Super Output Areas,Distance travelled to work (11 categories),Observation
E02000252,Ealing 015,"Works mainly at an offshore installation, in no fixed place, or outside the UK",862
E02000253,Ealing 016,"Works mainly at an offshore installation, in no fixed place, or outside the UK",888
E02000254,Ealing 017,"Works mainly at an offshore installation, in no fixed place, or outside the UK",659
E02000255,Ealing 018,"Works mainly at an offshore installation, in no fixed place, or outside the UK",598
E02000256,Ealing 019,"Works mainly at an offshore installation, in no fixed place, or outside the UK",590
E02000258,Ealing 021,"Works mainly at an offshore installation, in no fixed place, or outside the UK",514
E02000259,Ealing 022,"Works mainly at an offshore installation, in no fixed place, or outside the UK",556
E02000260,Ealing 023,"Works mainly at an offshore installation, in no fixed place, or outside the UK",568
E02000261,Ealing 024,"Works mainly at an offshore installation, in no fixed place, or outside the UK",933
E02000262,Ealing 025,"Works mainly at an offshore installation, in no fixed place, or outside the UK",728
E02000263,Ealing 026,"Works mainly at an offshore installation, in no fixed place, or outside the UK",805
E02000264,Ealing 027,"Works mainly at an offshore installation, in no fixed place, or outside the UK",550
E02000265,Ealing 028,"Works mainly at an offshore installation, in no fixed place, or outside the UK",717
E02000266,Ealing 029,"Works mainly at an offshore installation, in no fixed place, or outside the UK",939
E02000267,Ealing 030,"Works mainly at an offshore installation, in no fixed place, or outside the UK",708
E02000268,Ealing 031,"Works mainly at an offshore installation, in no fixed place, or outside the UK",585
E02000269,Ealing 032,"Works mainly at an offshore installation, in no fixed place, or outside the UK",468
E02000270,Ealing 033,"Works mainly at an offshore installation, in no fixed place, or outside the UK",625
E02000271,Ealing 034,"Works mainly at an offshore installation, in no fixed place, or outside the UK",273
E02000272,Ealing 035,"Works mainly at an offshore installation, in no fixed place, or outside the UK",407
E02000275,Ealing 038,"Works mainly at an offshore installation, in no fixed place, or outside the UK",455
E02000276,Ealing 039,"Works mainly at an offshore installation, in no fixed place, or outside the UK",412
E02000277,Enfield 001,"Works mainly at an offshore installation, in no fixed place, or outside the UK",556
E02000278,Enfield 002,"Works mainly at an offshore installation, in no fixed place, or outside the UK",676
E02000279,Enfield 003,"Works mainly at an offshore installation, in no fixed place, or outside the UK",926
E02000280,Enfield 004,"Works mainly at an offshore installation, in no fixed place, or outside the UK",608
E02000281,Enfield 005,"Works mainly at an offshore installation, in no fixed place, or outside the UK",787
E02000282,Enfield 006,"Works mainly at an offshore installation, in no fixed place, or outside the UK",626
E02000283,Enfield 007,"Works mainly at an offshore installation, in no fixed place, or outside the UK",678
E02000284,Enfield 008,"Works mainly at an offshore installation, in no fixed place, or outside the UK",631
E02000285,Enfield 009,"Works mainly at an offshore installation, in no fixed place, or outside the UK",475
E02000286,Enfield 010,"Works mainly at an offshore installation, in no fixed place, or outside the UK",517
E02000287,Enfield 011,"Works mainly at an offshore installation, in no fixed place, or outside the UK",379
E02000288,Enfield 012,"Works mainly at an offshore installation, in no fixed place, or outside the UK",948
E02000289,Enfield 013,"Works mainly at an offshore installation, in no fixed place, or outside the UK",390
E02000290,Enfield 014,"Works mainly at an offshore installation, in no fixed place, or outside the UK",479
E02000291,Enfield 015,"Works mainly at an offshore installation, in no fixed place, or outside the UK",782
E02000292,Enfield 016,"Works mainly at an offshore installation, in no fixed place, or outside the UK",759
E02000293,Enfield 017,"Works mainly at an offshore installation, in no fixed place, or outside the UK",372
E02000294,Enfield 018,"Works mainly at an offshore installation, in no fixed place, or outside the UK",682
E02000295,Enfield 019,"Works mainly at an offshore installation, in no fixed place, or outside the UK",628
E02000296,Enfield 020,"Works mainly at an offshore installation, in no fixed place, or outside the UK",906
E02000297,Enfield 021,"Works mainly at an offshore installation, in no fixed place, or outside the UK",672
E02000298,Enfield 022,"Works mainly at an offshore installation, in no fixed place, or outside the UK",494
E02000299,Enfield 023,"Works mainly at an offshore installation, in no fixed place, or outside the UK",790
E02000300,Enfield 024,"Works mainly at an offshore installation, in no fixed place, or outside the UK",799
E02000301,Enfield 025,"Works mainly at an offshore installation, in no fixed place, or outside the UK",785
E02000302,Enfield 026,"Works mainly at an offshore installation, in no fixed place, or outside the UK",801
E02000303,Enfield 027,"Works mainly at an offshore installation, in no fixed place, or outside the UK",712
E02000304,Enfield 028,"Works mainly at an offshore installation, in no fixed place, or outside the UK",478
E02000305,Enfield 029,"Works mainly at an offshore installation, in no fixed place, or outside the UK",806
E02000306,Enfield 030,"Works mainly at an offshore installation, in no fixed place, or outside the UK",649
E02000307,Enfield 031,"Works mainly at an offshore installation, in no fixed place, or outside the UK",984
E02000308,Enfield 032,"Works mainly at an offshore installation, in no fixed place, or outside the UK",784
E02000309,Enfield 033,"Works mainly at an offshore installation, in no fixed place, or outside the UK",1033
E02000311,Enfield 035,"Works mainly at an offshore installation, in no fixed place, or outside the UK",1036
E02000312,Enfield 036,"Works mainly at an offshore installation, in no fixed place, or outside the UK",1178
E02000313,Greenwich 001,"Works mainly at an offshore installation, in no fixed place, or outside the UK",565
E02000314,Greenwich 002,"Works mainly at an offshore installation, in no fixed place, or outside the UK",1182
E02000315,Greenwich 003,"Works mainly at an offshore installation, in no fixed place, or outside the UK",847
E02000317,Greenwich 005,"Works mainly at an offshore installation, in no fixed place, or outside the UK",524
E02000318,Greenwich 006,"Works mainly at an offshore installation, in no fixed place, or outside the UK",881
E02000319,Greenwich 007,"Works mainly at an offshore installation, in no fixed place, or outside the UK",850
E02000320,Greenwich 008,"Works mainly at an offshore installation, in no fixed place, or outside the UK",592
E02000321,Greenwich 009,"Works mainly at an offshore installation, in no fixed place, or outside the UK",611
E02000323,Greenwich 011,"Works mainly at an offshore installation, in no fixed place, or outside the UK",986
E02000324,Greenwich 012,"Works mainly at an offshore installation, in no fixed place, or outside the UK",568
E02000326,Greenwich 014,"Works mainly at an offshore installation, in no fixed place, or outside the UK",588
E02000327,Greenwich 015,"Works mainly at an offshore installation, in no fixed place, or outside the UK",420
E02000328,Greenwich 016,"Works mainly at an offshore installation, in no fixed place, or outside the UK",318
E02000329,Greenwich 017,"Works mainly at an offshore installation, in no fixed place, or outside the UK",510
E02000331,Greenwich 019,"Works mainly at an offshore installation, in no fixed place, or outside the UK",573
E02000332,Greenwich 020,"Works mainly at an offshore installation, in no fixed place, or outside the UK",524
E02000333,Greenwich 021,"Works mainly at an offshore installation, in no fixed place, or outside the UK",259
E02000334,Greenwich 022,"Works mainly at an offshore installation, in no fixed place, or outside the UK",460
E02000335,Greenwich 023,"Works mainly at an offshore installation, in no fixed place, or outside the UK",470
E02000337,Greenwich 025,"Works mainly at an offshore installation, in no fixed place, or outside the UK",757
E02000339,Greenwich 027,"Works mainly at an offshore installation, in no fixed place, or outside the UK",392
E02000340,Greenwich 028,"Works mainly at an offshore installation, in no fixed place, or outside the UK",501
E02000341,Greenwich 029,"Works mainly at an offshore installation, in no fixed place, or outside the UK",677
E02000342,Greenwich 030,"Works mainly at an offshore installation, in no fixed place, or outside the UK",495
E02000343,Greenwich 031,"Works mainly at an offshore installation, in no fixed place, or outside the UK",603
E02000344,Greenwich 032,"Works mainly at an offshore installation, in no fixed place, or outside the UK",538
E02000345,Hackney 001,"Works mainly at an offshore installation, in no fixed place, or outside the UK",392
E02000346,Hackney 002,"Works mainly at an offshore installation, in no fixed place, or outside the UK",563
E02000347,Hackney 003,"Works mainly at an offshore installation, in no fixed place, or outside the UK",383
