Middle layer Super Output Areas Code,Middle layer Super Output Areas,Semi_detached
E02006534,Adur 001,2142
E02006535,Adur 002,1368
E02006536,Adur 003,1524
E02006537,Adur 004,1423
E02006538,Adur 005,701
E02006539,Adur 006,1468
E02006540,Adur 007,947
E02006541,Adur 008,994
E02006542,Arun 001,731
E02006543,Arun 002,743
E02006544,Arun 003,1344
E02006545,Arun 004,1488
E02006546,Arun 005,1496
E02006547,Arun 006,896
E02006548,Arun 007,1200
E02006549,Arun 008,450
E02006550,Arun 009,1636
E02006551,Arun 010,371
E02006552,Arun 011,280
E02006553,Arun 012,1549
E02006554,Arun 013,642
E02006555,Arun 014,973
E02006556,Arun 015,945
E02006557,Arun 016,1028
E02006558,Arun 017,439
E02006559,Arun 018,457
E02006560,Arun 019,1509
E02006561,Chichester 001,792
E02006562,Chichester 002,507
E02006563,Chichester 003,716
E02006564,Chichester 004,950
E02006565,Chichester 005,1092
E02006566,Chichester 006,1045
E02006567,Chichester 007,1331
E02006568,Chichester 008,1432
E02006569,Chichester 009,975
E02006570,Chichester 010,914
E02006571,Chichester 011,1113
E02006572,Chichester 012,1574
E02006573,Chichester 013,1266
E02006574,Chichester 014,1671
E02006575,Crawley 001,1020
E02006576,Crawley 002,837
E02006577,Crawley 003,879
E02006578,Crawley 004,767
E02006579,Crawley 005,1216
E02006580,Crawley 006,886
E02006581,Crawley 007,813
E02006582,Crawley 008,490
E02006583,Crawley 009,1341
E02006584,Crawley 010,353
E02006585,Crawley 011,561
E02006586,Crawley 012,425
E02006587,Crawley 013,736
E02006588,Horsham 001,1102
E02006589,Horsham 002,1230
E02006590,Horsham 003,874
E02006591,Horsham 004,1177
E02006592,Horsham 005,669
E02006593,Horsham 006,1642
E02006594,Horsham 007,1359
E02006595,Horsham 008,655
E02006596,Horsham 009,977
E02006597,Horsham 010,1653
E02006598,Horsham 011,679
E02006599,Horsham 012,352
E02006600,Horsham 013,1201
E02006601,Horsham 014,1259
E02006602,Horsham 015,930
E02006603,Horsham 016,992
E02006604,Mid Sussex 001,1491
E02006605,Mid Sussex 002,813
E02006606,Mid Sussex 003,717
E02006607,Mid Sussex 004,877
E02006608,Mid Sussex 005,912
E02006609,Mid Sussex 006,887
E02006610,Mid Sussex 007,986
E02006611,Mid Sussex 008,1286
E02006612,Mid Sussex 009,979
E02006613,Mid Sussex 010,1371
E02006614,Mid Sussex 011,1421
E02006615,Mid Sussex 012,820
E02006616,Mid Sussex 013,1570
E02006617,Mid Sussex 014,1391
E02006618,Mid Sussex 015,835
E02006619,Mid Sussex 016,1222
E02006620,Mid Sussex 017,1417
E02006621,Worthing 001,744
E02006622,Worthing 002,1045
E02006623,Worthing 003,1250
E02006624,Worthing 004,986
E02006625,Worthing 005,763
E02006626,Worthing 006,1618
E02006627,Worthing 007,1686
E02006628,Worthing 008,618
E02006629,Worthing 009,906
E02006630,Worthing 010,371
E02006631,Worthing 011,322
E02006632,Worthing 012,663
E02006633,Worthing 013,753
E02006782,Bromley 040,1106
E02006783,Lewisham 037,555
E02006784,Lewisham 038,719
E02006785,Bexley 029,1513
E02006786,Greenwich 033,438
E02006787,Bromley 041,986
E02006788,Croydon 045,671
E02006789,Bromley 042,676
E02006790,Tandridge 012,1124
E02006791,Ealing 040,231
E02006792,Hounslow 029,438
E02006793,Enfield 037,489
E02006794,Haringey 037,206
E02006795,Harrow 032,830
E02006796,Hillingdon 033,1467
E02006798,Lewisham 039,205
E02006799,Barking and Dagenham 023,1155
E02006800,Redbridge 034,1044
E02006801,Lambeth 036,74
E02006802,Southwark 034,80
E02006821,Portsmouth 026,1270
E02006822,Havant 018,1632
E02006823,Buckinghamshire 039,666
E02006824,Buckinghamshire 036,1278
E02006825,East Cambridgeshire 011,910
E02006826,West Suffolk 015,1208
E02006829,East Hampshire 016,829
E02006830,Havant 019,738
E02006831,Havant 020,842
E02006832,Sevenoaks 016,393
E02006833,Tonbridge and Malling 014,1484
E02006836,Sutton 025,397
E02006837,Epsom and Ewell 010,651
E02006838,East Hampshire 017,468
E02006839,Waverley 018,693
E02006853,Tower Hamlets 032,90
E02006854,Tower Hamlets 033,18
E02006855,Canterbury 019,863
E02006856,Canterbury 020,1150
E02006857,Eastbourne 013,1171
E02006858,Eastbourne 014,497
E02006859,Thurrock 019,463
E02006873,South Cambridgeshire 020,940
E02006874,South Cambridgeshire 021,1226
E02006877,Peterborough 022,1389
E02006878,Peterborough 023,1361
E02006879,Folkestone and Hythe 014,183
E02006880,Folkestone and Hythe 015,157
E02006882,Harrow 033,2701
E02006886,Vale of White Horse 016,1951
E02006907,Norwich 014,159
E02006908,Norwich 015,317
E02006918,Hackney 028,114
E02006921,Hackney 029,115
E02006922,Colchester 022,2299
E02006924,Redbridge 035,1145
E02006925,Redbridge 036,2095
E02006926,Thurrock 020,675
E02006927,Greenwich 034,905
E02006928,Greenwich 035,71
E02006930,Greenwich 037,243
E02006931,Greenwich 038,312
E02006937,Luton 022,436
E02006938,Luton 023,93
E02006939,Reading 019,113
E02006940,Reading 020,136
E02006941,Southwark 035,16
E02006942,Southwark 036,43
E02006953,Barnet 042,81
E02006954,Barnet 043,839
E02006955,Brent 035,169
E02006956,Brent 036,1129
E02006968,Ealing 041,288
E02006969,Ealing 042,117
E02006970,Ealing 043,324
E02006971,Ealing 044,602
E02006972,Hounslow 030,222
E02006973,Hounslow 031,245
E02006975,Portsmouth 027,87
E02006976,Portsmouth 028,99
E02006978,Chelmsford 022,398
E02006979,Chelmsford 023,231
E02006980,Rochford 011,1642
E02006981,Rochford 012,1339
E02006987,Croydon 046,62
E02006988,Croydon 047,274
E02006991,Greenwich 039,33
E02006992,Greenwich 040,142
E02006993,Greenwich 041,82
E02006994,Greenwich 042,156
E02006995,Newham 038,37
E02006996,Newham 039,126
E02006997,Newham 040,122
E02006998,Newham 041,152
E02006999,Newham 042,145
E02007004,Thurrock 021,442
E02007005,Thurrock 022,737
E02007008,Lewisham 040,49
E02007009,Lewisham 041,309
E02007010,Bedford 021,1154
E02007011,Bedford 022,899
E02007012,Milton Keynes 033,581
E02007013,Milton Keynes 034,920
E02007014,Milton Keynes 035,833
E02007015,Milton Keynes 036,1139
E02007016,Milton Keynes 037,818
E02007017,Redbridge 037,1019
E02007018,Redbridge 038,451
E02007019,Redbridge 039,207
E02007020,Redbridge 040,511
E02007021,Oxford 020,1459
E02007032,North Norfolk 015,975
E02007033,North Norfolk 016,963
E02007046,Ashford 015,883
E02007047,Ashford 016,1014
E02007052,Norwich 016,247
E02007053,Norwich 017,132
E02007054,South Norfolk 016,1078
E02007055,South Norfolk 017,1254
E02007056,Colchester 023,996
E02007057,Colchester 024,775
E02007068,Slough 015,608
E02007069,Slough 016,790
E02007074,Southampton 033,93
E02007075,Southampton 034,35
E02007076,Test Valley 016,903
E02007077,Test Valley 017,1001
E02007078,Test Valley 018,429
E02007083,Wandsworth 038,14
E02007084,Wandsworth 039,52
E02007085,South Cambridgeshire 022,1734
E02007086,Cambridge 015,924
E02007087,Cambridge 014,138
E02007088,North Hertfordshire 016,962
E02007089,North Hertfordshire 017,894
E02007090,St Albans 021,853
E02007091,Stevenage 013,867
E02007092,Welwyn Hatfield 017,685
E02007093,East Hertfordshire 019,977
E02007108,Hackney 030,102
E02007109,Hackney 031,265
E02007110,Hackney 032,6
E02007111,Hackney 033,14
E02007112,Tower Hamlets 034,10
E02007113,Tower Hamlets 035,20
E02007114,Tower Hamlets 036,67
E02007115,Camden 029,32
E02007116,Oxford 019,774
