Middle layer Super Output Areas Code,Middle layer Super Output Areas,Semi_detached
E02000665,Lewisham 013,311
E02000666,Lewisham 014,420
E02000667,Lewisham 015,382
E02000668,Lewisham 016,562
E02000669,Lewisham 017,249
E02000670,Lewisham 018,297
E02000671,Lewisham 019,420
E02000672,Lewisham 020,481
E02000673,Lewisham 021,621
E02000674,Lewisham 022,379
E02000675,Lewisham 023,1027
E02000676,Lewisham 024,361
E02000677,Lewisham 025,1045
E02000678,Lewisham 026,434
E02000679,Lewisham 027,424
E02000680,Lewisham 028,298
E02000681,Lewisham 029,931
E02000682,Lewisham 030,981
E02000683,Lewisham 031,636
E02000685,Lewisham 033,342
E02000686,Lewisham 034,437
E02000687,Lewisham 035,353
E02000689,Merton 001,406
E02000690,Merton 002,309
E02000691,Merton 003,719
E02000692,Merton 004,427
E02000693,Merton 005,479
E02000694,Merton 006,448
E02000695,Merton 007,408
E02000696,Merton 008,457
E02000697,Merton 009,441
E02000698,Merton 010,995
E02000699,Merton 011,591
E02000700,Merton 012,430
E02000701,Merton 013,615
E02000702,Merton 014,553
E02000703,Merton 015,1153
E02000704,Merton 016,621
E02000705,Merton 017,766
E02000706,Merton 018,434
E02000707,Merton 019,639
E02000708,Merton 020,777
E02000709,Merton 021,912
E02000710,Merton 022,803
E02000711,Merton 023,651
E02000712,Merton 024,782
E02000713,Merton 025,697
E02000714,Newham 001,291
E02000715,Newham 002,235
E02000716,Newham 003,282
E02000717,Newham 004,194
E02000718,Newham 005,203
E02000719,Newham 006,337
E02000720,Newham 007,304
E02000721,Newham 008,280
E02000722,Newham 009,213
E02000723,Newham 010,325
E02000724,Newham 011,330
E02000725,Newham 012,223
E02000727,Newham 014,245
E02000728,Newham 015,353
E02000729,Newham 016,315
E02000730,Newham 017,308
E02000731,Newham 018,292
E02000732,Newham 019,251
E02000733,Newham 020,340
E02000734,Newham 021,188
E02000735,Newham 022,243
E02000736,Newham 023,417
E02000737,Newham 024,405
E02000738,Newham 025,325
E02000739,Newham 026,313
E02000740,Newham 027,337
E02000741,Newham 028,323
E02000742,Newham 029,386
E02000743,Newham 030,237
E02000744,Newham 031,402
E02000745,Newham 032,709
E02000746,Newham 033,399
E02000747,Newham 034,304
E02000748,Newham 035,616
E02000749,Newham 036,433
E02000751,Redbridge 001,1229
E02000752,Redbridge 002,1173
E02000753,Redbridge 003,871
E02000754,Redbridge 004,961
E02000755,Redbridge 005,640
E02000756,Redbridge 006,1563
E02000757,Redbridge 007,1389
E02000758,Redbridge 008,1253
E02000759,Redbridge 009,1468
E02000760,Redbridge 010,860
E02000762,Redbridge 012,922
E02000763,Redbridge 013,795
E02000764,Redbridge 014,1099
E02000765,Redbridge 015,508
E02000767,Redbridge 017,568
E02000768,Redbridge 018,896
E02000770,Redbridge 020,567
E02000772,Redbridge 022,497
E02000773,Redbridge 023,468
E02000774,Redbridge 024,552
E02000776,Redbridge 026,355
E02000777,Redbridge 027,612
E02000779,Redbridge 029,318
E02000781,Redbridge 031,1265
E02000782,Redbridge 032,319
E02000783,Redbridge 033,344
E02000784,Richmond upon Thames 001,1241
E02000785,Richmond upon Thames 002,895
E02000786,Richmond upon Thames 003,590
E02000787,Richmond upon Thames 004,855
E02000788,Richmond upon Thames 005,1177
E02000789,Richmond upon Thames 006,372
E02000790,Richmond upon Thames 007,505
E02000791,Richmond upon Thames 008,359
E02000792,Richmond upon Thames 009,581
E02000793,Richmond upon Thames 010,1359
E02000794,Richmond upon Thames 011,1057
E02000795,Richmond upon Thames 012,661
E02000796,Richmond upon Thames 013,2243
E02000797,Richmond upon Thames 014,486
E02000798,Richmond upon Thames 015,1332
E02000799,Richmond upon Thames 016,679
E02000800,Richmond upon Thames 017,459
E02000801,Richmond upon Thames 018,627
E02000802,Richmond upon Thames 019,767
E02000803,Richmond upon Thames 020,1136
E02000804,Richmond upon Thames 021,689
E02000805,Richmond upon Thames 022,819
E02000806,Richmond upon Thames 023,1277
E02000807,Southwark 001,323
E02000808,Southwark 002,66
E02000810,Southwark 004,86
E02000812,Southwark 006,56
E02000813,Southwark 007,92
E02000814,Southwark 008,278
E02000815,Southwark 009,22
E02000816,Southwark 010,190
E02000817,Southwark 011,128
E02000818,Southwark 012,94
E02000819,Southwark 013,151
E02000820,Southwark 014,108
E02000821,Southwark 015,85
E02000822,Southwark 016,40
E02000823,Southwark 017,100
E02000824,Southwark 018,149
E02000825,Southwark 019,186
E02000826,Southwark 020,127
E02000827,Southwark 021,94
E02000828,Southwark 022,184
E02000829,Southwark 023,227
E02000830,Southwark 024,270
E02000831,Southwark 025,313
E02000832,Southwark 026,358
E02000833,Southwark 027,228
E02000834,Southwark 028,542
E02000835,Southwark 029,358
E02000836,Southwark 030,509
E02000837,Southwark 031,991
E02000838,Southwark 032,564
E02000839,Southwark 033,346
E02000840,Sutton 001,556
E02000841,Sutton 002,584
E02000842,Sutton 003,1764
E02000843,Sutton 004,723
E02000844,Sutton 005,796
E02000845,Sutton 006,966
E02000846,Sutton 007,1176
E02000847,Sutton 008,1693
E02000848,Sutton 009,915
E02000849,Sutton 010,1209
E02000850,Sutton 011,1772
E02000851,Sutton 012,608
E02000852,Sutton 013,1250
E02000853,Sutton 014,837
E02000854,Sutton 015,1156
E02000855,Sutton 016,1431
E02000856,Sutton 017,1186
E02000857,Sutton 018,260
E02000858,Sutton 019,586
E02000859,Sutton 020,997
E02000860,Sutton 021,161
E02000861,Sutton 022,1099
E02000863,Sutton 024,881
E02000864,Tower Hamlets 001,133
E02000865,Tower Hamlets 002,57
E02000866,Tower Hamlets 003,128
E02000867,Tower Hamlets 004,110
E02000868,Tower Hamlets 005,52
E02000869,Tower Hamlets 006,69
E02000870,Tower Hamlets 007,52
E02000871,Tower Hamlets 008,77
E02000872,Tower Hamlets 009,43
E02000873,Tower Hamlets 010,43
E02000874,Tower Hamlets 011,60
E02000875,Tower Hamlets 012,90
E02000876,Tower Hamlets 013,65
E02000877,Tower Hamlets 014,78
E02000878,Tower Hamlets 015,91
E02000879,Tower Hamlets 016,76
E02000880,Tower Hamlets 017,43
E02000881,Tower Hamlets 018,95
E02000882,Tower Hamlets 019,170
E02000883,Tower Hamlets 020,123
E02000884,Tower Hamlets 021,59
E02000885,Tower Hamlets 022,59
E02000886,Tower Hamlets 023,114
E02000887,Tower Hamlets 024,78
E02000888,Tower Hamlets 025,30
E02000889,Tower Hamlets 026,83
E02000890,Tower Hamlets 027,35
E02000893,Tower Hamlets 030,199
E02000894,Tower Hamlets 031,227
E02000895,Waltham Forest 001,1667
E02000896,Waltham Forest 002,1353
E02000897,Waltham Forest 003,1337
E02000898,Waltham Forest 004,1295
E02000899,Waltham Forest 005,1015
E02000900,Waltham Forest 006,722
E02000901,Waltham Forest 007,1007
E02000902,Waltham Forest 008,404
E02000903,Waltham Forest 009,688
E02000904,Waltham Forest 010,655
E02000905,Waltham Forest 011,528
E02000906,Waltham Forest 012,304
E02000907,Waltham Forest 013,357
E02000908,Waltham Forest 014,273
E02000909,Waltham Forest 015,551
E02000910,Waltham Forest 016,360
E02000911,Waltham Forest 017,284
E02000912,Waltham Forest 018,406
E02000913,Waltham Forest 019,422
E02000914,Waltham Forest 020,345
E02000915,Waltham Forest 021,466
E02000916,Waltham Forest 022,290
E02000917,Waltham Forest 023,300
E02000918,Waltham Forest 024,294
