Middle layer Super Output Areas Code,Middle layer Super Output Areas,social_rented
E02006599,Horsham 012,14
E02006600,Horsham 013,113
E02006601,Horsham 014,60
E02006602,Horsham 015,39
E02006603,Horsham 016,19
E02006604,Mid Sussex 001,89
E02006605,Mid Sussex 002,7
E02006606,Mid Sussex 003,10
E02006607,Mid Sussex 004,14
E02006608,Mid Sussex 005,11
E02006609,Mid Sussex 006,12
E02006610,Mid Sussex 007,14
E02006611,Mid Sussex 008,23
E02006612,Mid Sussex 009,38
E02006613,Mid Sussex 010,58
E02006614,Mid Sussex 011,45
E02006615,Mid Sussex 012,10
E02006616,Mid Sussex 013,22
E02006617,Mid Sussex 014,53
E02006618,Mid Sussex 015,7
E02006619,Mid Sussex 016,29
E02006620,Mid Sussex 017,16
E02006621,Worthing 001,21
E02006622,Worthing 002,56
E02006623,Worthing 003,130
E02006624,Worthing 004,4
E02006625,Worthing 005,25
E02006626,Worthing 006,207
E02006627,Worthing 007,104
E02006628,Worthing 008,89
E02006629,Worthing 009,159
E02006630,Worthing 010,97
E02006631,Worthing 011,72
E02006632,Worthing 012,28
E02006633,Worthing 013,59
E02006782,Bromley 040,46
E02006783,Lewisham 037,324
E02006784,Lewisham 038,262
E02006785,Bexley 029,70
E02006786,Greenwich 033,562
E02006787,Bromley 041,30
E02006788,Croydon 045,635
E02006789,Bromley 042,13
E02006790,Tandridge 012,257
E02006791,Ealing 040,271
E02006792,Hounslow 029,303
E02006793,Enfield 037,891
E02006794,Haringey 037,838
E02006795,Harrow 032,47
E02006796,Hillingdon 033,264
E02006798,Lewisham 039,1041
E02006799,Barking and Dagenham 023,886
E02006800,Redbridge 034,194
E02006801,Lambeth 036,603
E02006802,Southwark 034,1066
E02006821,Portsmouth 026,81
E02006822,Havant 018,143
E02006823,Buckinghamshire 039,28
E02006824,Buckinghamshire 036,20
E02006825,East Cambridgeshire 011,37
E02006826,West Suffolk 015,331
E02006829,East Hampshire 016,20
E02006830,Havant 019,550
E02006831,Havant 020,28
E02006832,Sevenoaks 016,28
E02006833,Tonbridge and Malling 014,112
E02006836,Sutton 025,28
E02006837,Epsom and Ewell 010,13
E02006838,East Hampshire 017,45
E02006839,Waverley 018,193
E02006853,Tower Hamlets 032,194
E02006854,Tower Hamlets 033,94
E02006855,Canterbury 019,431
E02006856,Canterbury 020,447
E02006857,Eastbourne 013,235
E02006858,Eastbourne 014,21
E02006859,Thurrock 019,7
E02006873,South Cambridgeshire 020,61
E02006874,South Cambridgeshire 021,210
E02006877,Peterborough 022,102
E02006878,Peterborough 023,154
E02006879,Folkestone and Hythe 014,259
E02006880,Folkestone and Hythe 015,38
E02006882,Harrow 033,91
E02006886,Vale of White Horse 016,93
E02006907,Norwich 014,303
E02006908,Norwich 015,576
E02006918,Hackney 028,593
E02006921,Hackney 029,657
E02006922,Colchester 022,497
E02006924,Redbridge 035,98
E02006925,Redbridge 036,88
E02006926,Thurrock 020,25
E02006927,Greenwich 034,690
E02006928,Greenwich 035,824
E02006930,Greenwich 037,397
E02006931,Greenwich 038,750
E02006937,Luton 022,352
E02006938,Luton 023,668
E02006939,Reading 019,131
E02006940,Reading 020,134
E02006941,Southwark 035,150
E02006942,Southwark 036,730
E02006953,Barnet 042,66
E02006954,Barnet 043,181
E02006955,Brent 035,103
E02006956,Brent 036,69
E02006968,Ealing 041,44
E02006969,Ealing 042,107
E02006970,Ealing 043,68
E02006971,Ealing 044,74
E02006972,Hounslow 030,601
E02006973,Hounslow 031,895
E02006975,Portsmouth 027,920
E02006976,Portsmouth 028,935
E02006978,Chelmsford 022,46
E02006979,Chelmsford 023,50
E02006980,Rochford 011,12
E02006981,Rochford 012,25
E02006987,Croydon 046,146
E02006988,Croydon 047,220
E02006991,Greenwich 039,56
E02006992,Greenwich 040,546
E02006993,Greenwich 041,268
E02006994,Greenwich 042,1075
E02006995,Newham 038,98
E02006996,Newham 039,414
E02006997,Newham 040,348
E02006998,Newham 041,740
E02006999,Newham 042,193
E02007004,Thurrock 021,353
E02007005,Thurrock 022,272
E02007008,Lewisham 040,112
E02007009,Lewisham 041,714
E02007010,Bedford 021,67
E02007011,Bedford 022,54
E02007012,Milton Keynes 033,46
E02007013,Milton Keynes 034,56
E02007014,Milton Keynes 035,39
E02007015,Milton Keynes 036,103
E02007016,Milton Keynes 037,73
E02007017,Redbridge 037,84
E02007018,Redbridge 038,179
E02007019,Redbridge 039,127
E02007020,Redbridge 040,171
E02007021,Oxford 020,250
E02007032,North Norfolk 015,92
E02007033,North Norfolk 016,69
E02007046,Ashford 015,376
E02007047,Ashford 016,109
E02007052,Norwich 016,1373
E02007053,Norwich 017,414
E02007054,South Norfolk 016,62
E02007055,South Norfolk 017,74
E02007056,Colchester 023,104
E02007057,Colchester 024,61
E02007068,Slough 015,169
E02007069,Slough 016,102
E02007074,Southampton 033,801
E02007075,Southampton 034,87
E02007076,Test Valley 016,84
E02007077,Test Valley 017,111
E02007078,Test Valley 018,200
E02007083,Wandsworth 038,167
E02007084,Wandsworth 039,1342
E02007085,South Cambridgeshire 022,293
E02007086,Cambridge 015,369
E02007087,Cambridge 014,144
E02007088,North Hertfordshire 016,117
E02007089,North Hertfordshire 017,64
E02007090,St Albans 021,177
E02007091,Stevenage 013,182
E02007092,Welwyn Hatfield 017,477
E02007093,East Hertfordshire 019,63
E02007108,Hackney 030,196
E02007109,Hackney 031,555
E02007110,Hackney 032,1022
E02007111,Hackney 033,526
E02007112,Tower Hamlets 034,77
E02007113,Tower Hamlets 035,203
E02007114,Tower Hamlets 036,137
E02007115,Camden 029,1364
E02007116,Oxford 019,270
