Middle layer Super Output Areas Code,Middle layer Super Output Areas,social_rented
E02000428,Haringey 032,827
E02000429,Haringey 033,148
E02000430,Haringey 034,148
E02000431,Haringey 035,92
E02000432,Haringey 036,421
E02000433,Harrow 001,123
E02000434,Harrow 002,154
E02000435,Harrow 003,369
E02000436,Harrow 004,57
E02000437,Harrow 005,156
E02000438,Harrow 006,378
E02000439,Harrow 007,245
E02000440,Harrow 008,79
E02000441,Harrow 009,380
E02000442,Harrow 010,64
E02000443,Harrow 011,326
E02000444,Harrow 012,37
E02000445,Harrow 013,188
E02000447,Harrow 015,109
E02000448,Harrow 016,129
E02000449,Harrow 017,306
E02000451,Harrow 019,30
E02000452,Harrow 020,71
E02000453,Harrow 021,85
E02000454,Harrow 022,67
E02000455,Harrow 023,289
E02000456,Harrow 024,161
E02000457,Harrow 025,32
E02000459,Harrow 027,316
E02000460,Harrow 028,156
E02000461,Harrow 029,94
E02000462,Harrow 030,48
E02000463,Harrow 031,387
E02000464,Havering 001,676
E02000465,Havering 002,994
E02000466,Havering 003,591
E02000467,Havering 004,1719
E02000468,Havering 005,254
E02000469,Havering 006,654
E02000470,Havering 007,140
E02000471,Havering 008,42
E02000472,Havering 009,215
E02000473,Havering 010,105
E02000474,Havering 011,411
E02000475,Havering 012,241
E02000476,Havering 013,276
E02000477,Havering 014,62
E02000478,Havering 015,15
E02000479,Havering 016,319
E02000480,Havering 017,378
E02000481,Havering 018,217
E02000482,Havering 019,40
E02000483,Havering 020,286
E02000484,Havering 021,150
E02000485,Havering 022,171
E02000486,Havering 023,62
E02000487,Havering 024,27
E02000488,Havering 025,53
E02000489,Havering 026,404
E02000490,Havering 027,306
E02000491,Havering 028,386
E02000492,Havering 029,40
E02000493,Havering 030,193
E02000494,Hillingdon 001,117
E02000495,Hillingdon 002,346
E02000496,Hillingdon 003,504
E02000497,Hillingdon 004,462
E02000498,Hillingdon 005,257
E02000499,Hillingdon 006,133
E02000500,Hillingdon 007,27
E02000501,Hillingdon 008,120
E02000502,Hillingdon 009,114
E02000503,Hillingdon 010,37
E02000504,Hillingdon 011,85
E02000506,Hillingdon 013,53
E02000507,Hillingdon 014,191
E02000508,Hillingdon 015,387
E02000509,Hillingdon 016,582
E02000510,Hillingdon 017,189
E02000511,Hillingdon 018,150
E02000512,Hillingdon 019,574
E02000513,Hillingdon 020,703
E02000514,Hillingdon 021,109
E02000515,Hillingdon 022,626
E02000516,Hillingdon 023,102
E02000517,Hillingdon 024,548
E02000518,Hillingdon 025,741
E02000519,Hillingdon 026,694
E02000520,Hillingdon 027,467
E02000521,Hillingdon 028,492
E02000522,Hillingdon 029,484
E02000523,Hillingdon 030,96
E02000524,Hillingdon 031,161
E02000525,Hillingdon 032,364
E02000526,Hounslow 001,215
E02000529,Hounslow 004,367
E02000530,Hounslow 005,915
E02000531,Hounslow 006,755
E02000532,Hounslow 007,583
E02000533,Hounslow 008,395
E02000534,Hounslow 009,34
E02000535,Hounslow 010,246
E02000536,Hounslow 011,179
E02000537,Hounslow 012,35
E02000538,Hounslow 013,383
E02000539,Hounslow 014,507
E02000540,Hounslow 015,346
E02000541,Hounslow 016,327
E02000542,Hounslow 017,519
E02000543,Hounslow 018,277
E02000544,Hounslow 019,78
E02000545,Hounslow 020,966
E02000546,Hounslow 021,218
E02000547,Hounslow 022,755
E02000548,Hounslow 023,688
E02000549,Hounslow 024,487
E02000550,Hounslow 025,737
E02000551,Hounslow 026,823
E02000552,Hounslow 027,161
E02000553,Hounslow 028,458
E02000554,Islington 001,1584
E02000555,Islington 002,1028
E02000556,Islington 003,957
E02000557,Islington 004,963
E02000558,Islington 005,1633
E02000559,Islington 006,531
E02000560,Islington 007,428
E02000561,Islington 008,270
E02000562,Islington 009,971
E02000563,Islington 010,1358
E02000564,Islington 011,957
E02000565,Islington 012,1297
E02000566,Islington 013,570
E02000567,Islington 014,1460
E02000568,Islington 015,1269
E02000569,Islington 016,1373
E02000570,Islington 017,530
E02000571,Islington 018,1211
E02000572,Islington 019,918
E02000573,Islington 020,733
E02000574,Islington 021,829
E02000575,Islington 022,1584
E02000576,Islington 023,1628
E02000577,Kensington and Chelsea 001,1317
E02000578,Kensington and Chelsea 002,527
E02000579,Kensington and Chelsea 003,549
E02000580,Kensington and Chelsea 004,571
E02000581,Kensington and Chelsea 005,1234
E02000582,Kensington and Chelsea 006,128
E02000583,Kensington and Chelsea 007,126
E02000584,Kensington and Chelsea 008,130
E02000585,Kensington and Chelsea 009,147
E02000586,Kensington and Chelsea 010,25
E02000587,Kensington and Chelsea 011,38
E02000588,Kensington and Chelsea 012,78
E02000589,Kensington and Chelsea 013,28
E02000590,Kensington and Chelsea 014,352
E02000591,Kensington and Chelsea 015,164
E02000592,Kensington and Chelsea 016,30
E02000593,Kensington and Chelsea 017,161
E02000594,Kensington and Chelsea 018,132
E02000595,Kensington and Chelsea 019,338
E02000596,Kensington and Chelsea 020,194
E02000597,Kensington and Chelsea 021,886
E02000598,Kingston upon Thames 001,56
E02000599,Kingston upon Thames 002,66
E02000600,Kingston upon Thames 003,329
E02000601,Kingston upon Thames 004,283
E02000602,Kingston upon Thames 005,908
E02000603,Kingston upon Thames 006,453
E02000604,Kingston upon Thames 007,168
E02000605,Kingston upon Thames 008,110
E02000606,Kingston upon Thames 009,162
E02000607,Kingston upon Thames 010,139
E02000608,Kingston upon Thames 011,98
E02000609,Kingston upon Thames 012,294
E02000610,Kingston upon Thames 013,408
E02000611,Kingston upon Thames 014,44
E02000612,Kingston upon Thames 015,81
E02000613,Kingston upon Thames 016,207
E02000614,Kingston upon Thames 017,181
E02000615,Kingston upon Thames 018,165
E02000616,Kingston upon Thames 019,75
E02000617,Kingston upon Thames 020,419
E02000619,Lambeth 002,1361
E02000620,Lambeth 003,1133
