Middle layer Super Output Areas Code,Middle layer Super Output Areas,owns_with_mortgage
E02000593,Kensington and Chelsea 017,531
E02000594,Kensington and Chelsea 018,378
E02000595,Kensington and Chelsea 019,439
E02000596,Kensington and Chelsea 020,462
E02000597,Kensington and Chelsea 021,357
E02000598,Kingston upon Thames 001,1138
E02000599,Kingston upon Thames 002,810
E02000600,Kingston upon Thames 003,934
E02000601,Kingston upon Thames 004,1426
E02000602,Kingston upon Thames 005,954
E02000603,Kingston upon Thames 006,796
E02000604,Kingston upon Thames 007,1178
E02000605,Kingston upon Thames 008,1100
E02000606,Kingston upon Thames 009,1193
E02000607,Kingston upon Thames 010,913
E02000608,Kingston upon Thames 011,896
E02000609,Kingston upon Thames 012,881
E02000610,Kingston upon Thames 013,970
E02000611,Kingston upon Thames 014,1099
E02000612,Kingston upon Thames 015,1176
E02000613,Kingston upon Thames 016,1257
E02000614,Kingston upon Thames 017,1231
E02000615,Kingston upon Thames 018,1186
E02000616,Kingston upon Thames 019,1072
E02000617,Kingston upon Thames 020,1211
E02000619,Lambeth 002,619
E02000620,Lambeth 003,605
E02000621,Lambeth 004,819
E02000622,Lambeth 005,616
E02000623,Lambeth 006,393
E02000624,Lambeth 007,771
E02000625,Lambeth 008,464
E02000626,Lambeth 009,477
E02000627,Lambeth 010,615
E02000628,Lambeth 011,635
E02000629,Lambeth 012,830
E02000630,Lambeth 013,726
E02000631,Lambeth 014,941
E02000632,Lambeth 015,937
E02000633,Lambeth 016,599
E02000634,Lambeth 017,461
E02000635,Lambeth 018,913
E02000636,Lambeth 019,974
E02000637,Lambeth 020,960
E02000638,Lambeth 021,948
E02000639,Lambeth 022,512
E02000640,Lambeth 023,1163
E02000641,Lambeth 024,554
E02000642,Lambeth 025,1006
E02000643,Lambeth 026,1079
E02000644,Lambeth 027,1152
E02000645,Lambeth 028,1116
E02000646,Lambeth 029,1157
E02000647,Lambeth 030,1127
E02000648,Lambeth 031,746
E02000649,Lambeth 032,1431
E02000650,Lambeth 033,852
E02000651,Lambeth 034,1032
E02000652,Lambeth 035,693
E02000653,Lewisham 001,928
E02000654,Lewisham 002,547
E02000655,Lewisham 003,742
E02000657,Lewisham 005,804
E02000658,Lewisham 006,756
E02000659,Lewisham 007,806
E02000660,Lewisham 008,913
E02000661,Lewisham 009,694
E02000662,Lewisham 010,858
E02000663,Lewisham 011,846
E02000665,Lewisham 013,1011
E02000666,Lewisham 014,886
E02000667,Lewisham 015,1020
E02000668,Lewisham 016,961
E02000669,Lewisham 017,971
E02000670,Lewisham 018,695
E02000671,Lewisham 019,1273
E02000672,Lewisham 020,1167
E02000673,Lewisham 021,1143
E02000674,Lewisham 022,1231
E02000675,Lewisham 023,1121
E02000676,Lewisham 024,1170
E02000677,Lewisham 025,947
E02000678,Lewisham 026,761
E02000679,Lewisham 027,1002
E02000680,Lewisham 028,834
E02000681,Lewisham 029,893
E02000682,Lewisham 030,797
E02000683,Lewisham 031,719
E02000685,Lewisham 033,877
E02000686,Lewisham 034,552
E02000687,Lewisham 035,937
E02000689,Merton 001,1186
E02000690,Merton 002,573
E02000691,Merton 003,868
E02000692,Merton 004,737
E02000693,Merton 005,1124
E02000694,Merton 006,1297
E02000695,Merton 007,928
E02000696,Merton 008,844
E02000697,Merton 009,1138
E02000698,Merton 010,1070
E02000699,Merton 011,1181
E02000700,Merton 012,674
E02000701,Merton 013,826
E02000702,Merton 014,1022
E02000703,Merton 015,1007
E02000704,Merton 016,1018
E02000705,Merton 017,1198
E02000706,Merton 018,785
E02000707,Merton 019,787
E02000708,Merton 020,1297
E02000709,Merton 021,1119
E02000710,Merton 022,937
E02000711,Merton 023,975
E02000712,Merton 024,927
E02000713,Merton 025,1255
E02000714,Newham 001,567
E02000715,Newham 002,364
E02000716,Newham 003,419
E02000717,Newham 004,394
E02000718,Newham 005,390
E02000719,Newham 006,504
E02000720,Newham 007,472
E02000721,Newham 008,387
E02000722,Newham 009,447
E02000723,Newham 010,538
E02000724,Newham 011,530
E02000725,Newham 012,542
E02000727,Newham 014,353
E02000728,Newham 015,491
E02000729,Newham 016,410
E02000730,Newham 017,436
E02000731,Newham 018,530
E02000732,Newham 019,494
E02000733,Newham 020,553
E02000734,Newham 021,340
E02000735,Newham 022,455
E02000736,Newham 023,614
E02000737,Newham 024,771
E02000738,Newham 025,839
E02000739,Newham 026,404
E02000740,Newham 027,390
E02000741,Newham 028,673
E02000742,Newham 029,646
E02000743,Newham 030,525
E02000744,Newham 031,602
E02000745,Newham 032,569
E02000746,Newham 033,617
E02000747,Newham 034,829
E02000748,Newham 035,492
E02000749,Newham 036,546
E02000751,Redbridge 001,1452
E02000752,Redbridge 002,1168
E02000753,Redbridge 003,814
E02000754,Redbridge 004,952
E02000755,Redbridge 005,831
E02000756,Redbridge 006,1742
E02000757,Redbridge 007,1617
E02000758,Redbridge 008,861
E02000759,Redbridge 009,1634
E02000760,Redbridge 010,798
E02000762,Redbridge 012,744
E02000763,Redbridge 013,766
E02000764,Redbridge 014,1576
E02000765,Redbridge 015,738
E02000767,Redbridge 017,909
E02000768,Redbridge 018,779
E02000770,Redbridge 020,718
E02000772,Redbridge 022,695
E02000773,Redbridge 023,902
E02000774,Redbridge 024,578
E02000776,Redbridge 026,497
E02000777,Redbridge 027,779
E02000779,Redbridge 029,431
E02000781,Redbridge 031,1595
E02000782,Redbridge 032,541
E02000783,Redbridge 033,443
