Middle layer Super Output Areas Code,Middle layer Super Output Areas,owns_with_mortgage
E02006451,Waverley 013,1395
E02006453,Waverley 015,1042
E02006454,Waverley 016,956
E02006455,Waverley 017,880
E02006456,Woking 001,1283
E02006457,Woking 002,1408
E02006458,Woking 003,1264
E02006459,Woking 004,942
E02006460,Woking 005,1174
E02006461,Woking 006,894
E02006462,Woking 007,1249
E02006463,Woking 008,1305
E02006464,Woking 009,1037
E02006465,Woking 010,895
E02006466,Woking 011,1607
E02006467,Woking 012,1222
E02006534,Adur 001,1299
E02006535,Adur 002,1085
E02006536,Adur 003,1118
E02006537,Adur 004,1251
E02006538,Adur 005,1295
E02006539,Adur 006,1016
E02006540,Adur 007,738
E02006541,Adur 008,1038
E02006542,Arun 001,682
E02006543,Arun 002,737
E02006544,Arun 003,1649
E02006545,Arun 004,1575
E02006546,Arun 005,1517
E02006547,Arun 006,877
E02006548,Arun 007,1381
E02006549,Arun 008,689
E02006550,Arun 009,1092
E02006551,Arun 010,717
E02006552,Arun 011,638
E02006553,Arun 012,1420
E02006554,Arun 013,818
E02006555,Arun 014,836
E02006556,Arun 015,1312
E02006557,Arun 016,853
E02006558,Arun 017,774
E02006559,Arun 018,841
E02006560,Arun 019,1177
E02006561,Chichester 001,886
E02006562,Chichester 002,858
E02006563,Chichester 003,703
E02006564,Chichester 004,891
E02006565,Chichester 005,751
E02006566,Chichester 006,824
E02006567,Chichester 007,921
E02006568,Chichester 008,816
E02006569,Chichester 009,884
E02006570,Chichester 010,692
E02006571,Chichester 011,961
E02006572,Chichester 012,1212
E02006573,Chichester 013,1176
E02006574,Chichester 014,1083
E02006575,Crawley 001,848
E02006576,Crawley 002,1927
E02006577,Crawley 003,1030
E02006578,Crawley 004,1076
E02006579,Crawley 005,1028
E02006580,Crawley 006,1143
E02006581,Crawley 007,1149
E02006582,Crawley 008,1316
E02006583,Crawley 009,1246
E02006584,Crawley 010,896
E02006585,Crawley 011,952
E02006586,Crawley 012,919
E02006587,Crawley 013,893
E02006588,Horsham 001,1575
E02006589,Horsham 002,1776
E02006590,Horsham 003,1221
E02006591,Horsham 004,1236
E02006592,Horsham 005,910
E02006593,Horsham 006,1313
E02006594,Horsham 007,1814
E02006595,Horsham 008,1093
E02006596,Horsham 009,1561
E02006597,Horsham 010,1854
E02006598,Horsham 011,788
E02006599,Horsham 012,858
E02006600,Horsham 013,1207
E02006601,Horsham 014,1080
E02006602,Horsham 015,1203
E02006603,Horsham 016,1100
E02006604,Mid Sussex 001,1813
E02006605,Mid Sussex 002,978
E02006606,Mid Sussex 003,1303
E02006607,Mid Sussex 004,1238
E02006608,Mid Sussex 005,952
E02006609,Mid Sussex 006,961
E02006610,Mid Sussex 007,1142
E02006611,Mid Sussex 008,1738
E02006612,Mid Sussex 009,1736
E02006613,Mid Sussex 010,1057
E02006614,Mid Sussex 011,1998
E02006615,Mid Sussex 012,1213
E02006616,Mid Sussex 013,1678
E02006617,Mid Sussex 014,1248
E02006618,Mid Sussex 015,989
E02006619,Mid Sussex 016,1236
E02006620,Mid Sussex 017,1474
E02006621,Worthing 001,1109
E02006622,Worthing 002,1158
E02006623,Worthing 003,1058
E02006624,Worthing 004,1238
E02006625,Worthing 005,1358
E02006626,Worthing 006,1453
E02006627,Worthing 007,1495
E02006628,Worthing 008,1331
E02006629,Worthing 009,1005
E02006630,Worthing 010,923
E02006631,Worthing 011,1058
E02006632,Worthing 012,1191
E02006633,Worthing 013,1011
E02006782,Bromley 040,1131
E02006783,Lewisham 037,770
E02006784,Lewisham 038,845
E02006785,Bexley 029,941
E02006786,Greenwich 033,727
E02006787,Bromley 041,1258
E02006788,Croydon 045,990
E02006789,Bromley 042,886
E02006790,Tandridge 012,1115
E02006791,Ealing 040,979
E02006792,Hounslow 029,837
E02006793,Enfield 037,510
E02006794,Haringey 037,296
E02006795,Harrow 032,868
E02006796,Hillingdon 033,1274
E02006798,Lewisham 039,642
E02006799,Barking and Dagenham 023,1101
E02006800,Redbridge 034,1140
E02006801,Lambeth 036,364
E02006802,Southwark 034,527
E02006821,Portsmouth 026,1003
E02006822,Havant 018,1408
E02006823,Buckinghamshire 039,1258
E02006824,Buckinghamshire 036,1490
E02006825,East Cambridgeshire 011,727
E02006826,West Suffolk 015,1029
E02006829,East Hampshire 016,1092
E02006830,Havant 019,799
E02006831,Havant 020,926
E02006832,Sevenoaks 016,855
E02006833,Tonbridge and Malling 014,1872
E02006836,Sutton 025,1286
E02006837,Epsom and Ewell 010,1747
E02006838,East Hampshire 017,981
E02006839,Waverley 018,1191
E02006853,Tower Hamlets 032,596
E02006854,Tower Hamlets 033,526
E02006855,Canterbury 019,560
E02006856,Canterbury 020,796
E02006857,Eastbourne 013,1130
E02006858,Eastbourne 014,714
E02006859,Thurrock 019,1398
E02006873,South Cambridgeshire 020,1469
E02006874,South Cambridgeshire 021,1646
E02006877,Peterborough 022,1725
E02006878,Peterborough 023,2107
E02006879,Folkestone and Hythe 014,401
E02006880,Folkestone and Hythe 015,648
E02006882,Harrow 033,1331
E02006886,Vale of White Horse 016,1730
E02006907,Norwich 014,636
E02006908,Norwich 015,573
E02006918,Hackney 028,464
E02006921,Hackney 029,262
E02006922,Colchester 022,1841
E02006924,Redbridge 035,1246
E02006925,Redbridge 036,1638
E02006926,Thurrock 020,1543
E02006927,Greenwich 034,1306
E02006928,Greenwich 035,961
E02006930,Greenwich 037,1335
E02006931,Greenwich 038,1027
E02006937,Luton 022,544
E02006938,Luton 023,140
E02006939,Reading 019,446
E02006940,Reading 020,574
E02006941,Southwark 035,483
E02006942,Southwark 036,568
E02006953,Barnet 042,777
E02006954,Barnet 043,732
E02006955,Brent 035,322
E02006956,Brent 036,459
E02006968,Ealing 041,651
E02006969,Ealing 042,452
E02006970,Ealing 043,388
E02006971,Ealing 044,428
E02006972,Hounslow 030,384
E02006973,Hounslow 031,720
E02006975,Portsmouth 027,183
E02006976,Portsmouth 028,158
E02006978,Chelmsford 022,833
E02006979,Chelmsford 023,686
E02006980,Rochford 011,1228
E02006981,Rochford 012,1212
E02006987,Croydon 046,619
E02006988,Croydon 047,758
E02006991,Greenwich 039,654
E02006992,Greenwich 040,1191
E02006993,Greenwich 041,780
E02006994,Greenwich 042,473
E02006995,Newham 038,358
E02006996,Newham 039,579
E02006997,Newham 040,455
E02006998,Newham 041,378
E02006999,Newham 042,976
E02007004,Thurrock 021,953
E02007005,Thurrock 022,1332
E02007008,Lewisham 040,438
E02007009,Lewisham 041,820
E02007010,Bedford 021,1417
E02007011,Bedford 022,1360
E02007012,Milton Keynes 033,1064
E02007013,Milton Keynes 034,1650
E02007014,Milton Keynes 035,812
E02007015,Milton Keynes 036,1625
E02007016,Milton Keynes 037,1420
E02007017,Redbridge 037,1099
E02007018,Redbridge 038,702
E02007019,Redbridge 039,294
E02007020,Redbridge 040,588
E02007021,Oxford 020,644
E02007032,North Norfolk 015,671
E02007033,North Norfolk 016,783
E02007046,Ashford 015,781
E02007047,Ashford 016,1512
E02007052,Norwich 016,460
E02007053,Norwich 017,320
E02007054,South Norfolk 016,1670
E02007055,South Norfolk 017,956
E02007056,Colchester 023,1735
E02007057,Colchester 024,1007
E02007068,Slough 015,440
E02007069,Slough 016,496
E02007074,Southampton 033,308
E02007075,Southampton 034,666
E02007076,Test Valley 016,1367
E02007077,Test Valley 017,1288
E02007078,Test Valley 018,533
E02007083,Wandsworth 038,518
E02007084,Wandsworth 039,541
E02007085,South Cambridgeshire 022,1462
E02007086,Cambridge 015,1027
E02007087,Cambridge 014,295
E02007088,North Hertfordshire 016,951
E02007089,North Hertfordshire 017,1332
E02007090,St Albans 021,839
E02007091,Stevenage 013,1065
E02007092,Welwyn Hatfield 017,597
E02007093,East Hertfordshire 019,1087
E02007108,Hackney 030,489
E02007109,Hackney 031,545
E02007110,Hackney 032,324
E02007111,Hackney 033,290
E02007112,Tower Hamlets 034,408
E02007113,Tower Hamlets 035,557
E02007114,Tower Hamlets 036,443
E02007115,Camden 029,282
E02007116,Oxford 019,532
