Middle layer Super Output Areas Code,Middle layer Super Output Areas,1_car
E02000852,Sutton 013,1606
E02000853,Sutton 014,1621
E02000854,Sutton 015,1558
E02000855,Sutton 016,1473
E02000856,Sutton 017,1750
E02000857,Sutton 018,2158
E02000858,Sutton 019,1525
E02000859,Sutton 020,1560
E02000860,Sutton 021,1967
E02000861,Sutton 022,1191
E02000863,Sutton 024,931
E02000864,Tower Hamlets 001,1446
E02000865,Tower Hamlets 002,776
E02000866,Tower Hamlets 003,1422
E02000867,Tower Hamlets 004,1473
E02000868,Tower Hamlets 005,748
E02000869,Tower Hamlets 006,749
E02000870,Tower Hamlets 007,778
E02000871,Tower Hamlets 008,1282
E02000872,Tower Hamlets 009,758
E02000873,Tower Hamlets 010,933
E02000874,Tower Hamlets 011,750
E02000875,Tower Hamlets 012,1483
E02000876,Tower Hamlets 013,676
E02000877,Tower Hamlets 014,1428
E02000878,Tower Hamlets 015,817
E02000879,Tower Hamlets 016,952
E02000880,Tower Hamlets 017,581
E02000881,Tower Hamlets 018,1155
E02000882,Tower Hamlets 019,1283
E02000883,Tower Hamlets 020,962
E02000884,Tower Hamlets 021,948
E02000885,Tower Hamlets 022,696
E02000886,Tower Hamlets 023,1192
E02000887,Tower Hamlets 024,1156
E02000888,Tower Hamlets 025,1086
E02000889,Tower Hamlets 026,1034
E02000890,Tower Hamlets 027,1037
E02000893,Tower Hamlets 030,1124
E02000894,Tower Hamlets 031,1671
E02000895,Waltham Forest 001,1401
E02000896,Waltham Forest 002,1771
E02000897,Waltham Forest 003,1544
E02000898,Waltham Forest 004,1459
E02000899,Waltham Forest 005,1380
E02000900,Waltham Forest 006,1442
E02000901,Waltham Forest 007,1957
E02000902,Waltham Forest 008,1757
E02000903,Waltham Forest 009,1629
E02000904,Waltham Forest 010,1491
E02000905,Waltham Forest 011,1726
E02000906,Waltham Forest 012,1572
E02000907,Waltham Forest 013,1590
E02000908,Waltham Forest 014,1961
E02000909,Waltham Forest 015,1698
E02000910,Waltham Forest 016,1738
E02000911,Waltham Forest 017,1763
E02000912,Waltham Forest 018,1454
E02000913,Waltham Forest 019,1380
E02000914,Waltham Forest 020,1457
E02000915,Waltham Forest 021,1429
E02000916,Waltham Forest 022,1548
E02000917,Waltham Forest 023,1496
E02000918,Waltham Forest 024,1394
E02000919,Waltham Forest 025,1345
E02000920,Waltham Forest 026,1419
E02000921,Waltham Forest 027,1556
E02000922,Waltham Forest 028,1587
E02000923,Wandsworth 001,1334
E02000925,Wandsworth 003,1140
