Middle layer Super Output Areas Code,Middle layer Super Output Areas,Does not apply,Less than 2km,2km to less than 5km,5km to less than 10km,10km to less than 20km,20km to less than 30km,30km to less than 40km,40km to less than 60km,60km and over,outside the UK,Works mainly from home,Total,% work from home
E02003492,Brighton and Hove 002,7311,222,599,339,139,81,34,36,151,562,642,10116,6.346381969
E02003493,Brighton and Hove 003,4245,197,708,199,202,74,69,28,62,537,1741,8062,21.59513768
E02003494,Brighton and Hove 004,3394,240,590,113,162,49,36,20,70,427,1536,6637,23.14298629
E02003495,Brighton and Hove 005,3590,263,570,567,260,67,44,13,39,696,1046,7155,14.61914745
E02003496,Brighton and Hove 006,4442,341,581,331,203,30,50,34,40,603,1093,7748,14.10686629
E02003497,Brighton and Hove 007,3961,279,593,185,190,38,41,28,74,405,1784,7578,23.54183162
E02003498,Brighton and Hove 008,5204,437,842,119,129,51,52,21,62,633,997,8547,11.66491166
E02003499,Brighton and Hove 009,4627,292,895,210,168,55,48,23,59,702,770,7849,9.8101669
E02003500,Brighton and Hove 010,3775,464,679,90,184,58,54,32,84,407,2242,8069,27.78535134
E02003501,Brighton and Hove 011,3825,405,724,109,234,72,53,40,104,410,2409,8385,28.72987478
E02003502,Brighton and Hove 012,4051,357,467,603,263,66,52,15,41,652,1211,7778,15.56955516
E02003503,Brighton and Hove 013,4781,540,600,393,226,52,55,25,55,735,1619,9081,17.82843299
