Middle layer Super Output Areas Code,Middle layer Super Output Areas,Distance travelled to work (11 categories),Observation
E02000376,Hammersmith and Fulham 005,Works mainly from home,1844
E02000377,Hammersmith and Fulham 006,Works mainly from home,1986
E02000378,Hammersmith and Fulham 007,Works mainly from home,1999
E02000379,Hammersmith and Fulham 008,Works mainly from home,2017
E02000380,Hammersmith and Fulham 009,Works mainly from home,1788
E02000381,Hammersmith and Fulham 010,Works mainly from home,2502
E02000382,Hammersmith and Fulham 011,Works mainly from home,1911
E02000383,Hammersmith and Fulham 012,Works mainly from home,2429
E02000384,Hammersmith and Fulham 013,Works mainly from home,2086
E02000385,Hammersmith and Fulham 014,Works mainly from home,2110
E02000386,Hammersmith and Fulham 015,Works mainly from home,1610
E02000387,Hammersmith and Fulham 016,Works mainly from home,1355
E02000388,Hammersmith and Fulham 017,Works mainly from home,2844
E02000389,Hammersmith and Fulham 018,Works mainly from home,2821
E02000390,Hammersmith and Fulham 019,Works mainly from home,1992
E02000391,Hammersmith and Fulham 020,Works mainly from home,2485
E02000392,Hammersmith and Fulham 021,Works mainly from home,3056
E02000393,Hammersmith and Fulham 022,Works mainly from home,2245
E02000394,Hammersmith and Fulham 023,Works mainly from home,2779
E02000395,Hammersmith and Fulham 024,Works mainly from home,1960
E02000396,Hammersmith and Fulham 025,Works mainly from home,1931
E02000397,Haringey 001,Works mainly from home,1516
E02000398,Haringey 002,Works mainly from home,529
E02000400,Haringey 004,Works mainly from home,1656
E02000401,Haringey 005,Works mainly from home,725
E02000402,Haringey 006,Works mainly from home,622
E02000403,Haringey 007,Works mainly from home,1377
E02000404,Haringey 008,Works mainly from home,935
E02000405,Haringey 009,Works mainly from home,2112
E02000406,Haringey 010,Works mainly from home,1058
E02000407,Haringey 011,Works mainly from home,886
E02000408,Haringey 012,Works mainly from home,849
E02000409,Haringey 013,Works mainly from home,916
E02000410,Haringey 014,Works mainly from home,2031
E02000411,Haringey 015,Works mainly from home,1792
E02000412,Haringey 016,Works mainly from home,1124
E02000413,Haringey 017,Works mainly from home,2234
E02000414,Haringey 018,Works mainly from home,1171
E02000415,Haringey 019,Works mainly from home,1398
E02000416,Haringey 020,Works mainly from home,2614
E02000417,Haringey 021,Works mainly from home,2151
E02000418,Haringey 022,Works mainly from home,1825
E02000419,Haringey 023,Works mainly from home,2172
E02000420,Haringey 024,Works mainly from home,1474
E02000421,Haringey 025,Works mainly from home,1092
E02000422,Haringey 026,Works mainly from home,1172
E02000423,Haringey 027,Works mainly from home,1605
E02000424,Haringey 028,Works mainly from home,2252
E02000425,Haringey 029,Works mainly from home,652
E02000426,Haringey 030,Works mainly from home,2029
E02000427,Haringey 031,Works mainly from home,1975
E02000428,Haringey 032,Works mainly from home,1429
E02000429,Haringey 033,Works mainly from home,2543
E02000430,Haringey 034,Works mainly from home,2582
E02000431,Haringey 035,Works mainly from home,2424
E02000432,Haringey 036,Works mainly from home,2138
E02000433,Harrow 001,Works mainly from home,1824
E02000434,Harrow 002,Works mainly from home,2113
E02000435,Harrow 003,Works mainly from home,1267
E02000436,Harrow 004,Works mainly from home,1464
E02000437,Harrow 005,Works mainly from home,1320
E02000438,Harrow 006,Works mainly from home,1451
E02000439,Harrow 007,Works mainly from home,1198
E02000440,Harrow 008,Works mainly from home,1867
E02000441,Harrow 009,Works mainly from home,1565
E02000442,Harrow 010,Works mainly from home,1015
E02000443,Harrow 011,Works mainly from home,1379
E02000444,Harrow 012,Works mainly from home,1273
E02000445,Harrow 013,Works mainly from home,1397
E02000447,Harrow 015,Works mainly from home,1728
E02000448,Harrow 016,Works mainly from home,1807
E02000449,Harrow 017,Works mainly from home,954
E02000451,Harrow 019,Works mainly from home,1573
E02000452,Harrow 020,Works mainly from home,1634
E02000453,Harrow 021,Works mainly from home,1732
E02000454,Harrow 022,Works mainly from home,1850
E02000455,Harrow 023,Works mainly from home,2540
E02000456,Harrow 024,Works mainly from home,1476
E02000457,Harrow 025,Works mainly from home,1479
E02000459,Harrow 027,Works mainly from home,1367
E02000460,Harrow 028,Works mainly from home,1055
E02000461,Harrow 029,Works mainly from home,1344
E02000462,Harrow 030,Works mainly from home,871
E02000463,Harrow 031,Works mainly from home,1048
E02000464,Havering 001,Works mainly from home,845
E02000465,Havering 002,Works mainly from home,1182
E02000466,Havering 003,Works mainly from home,1037
E02000467,Havering 004,Works mainly from home,1043
E02000468,Havering 005,Works mainly from home,1024
E02000469,Havering 006,Works mainly from home,770
E02000470,Havering 007,Works mainly from home,2099
E02000471,Havering 008,Works mainly from home,1261
E02000472,Havering 009,Works mainly from home,1344
E02000473,Havering 010,Works mainly from home,2024
E02000474,Havering 011,Works mainly from home,1273
E02000475,Havering 012,Works mainly from home,1983
E02000476,Havering 013,Works mainly from home,1605
E02000477,Havering 014,Works mainly from home,2015
E02000478,Havering 015,Works mainly from home,1150
E02000479,Havering 016,Works mainly from home,1571
E02000480,Havering 017,Works mainly from home,1806
E02000481,Havering 018,Works mainly from home,1475
E02000482,Havering 019,Works mainly from home,1541
E02000483,Havering 020,Works mainly from home,1380
E02000484,Havering 021,Works mainly from home,1512
E02000485,Havering 022,Works mainly from home,1822
E02000486,Havering 023,Works mainly from home,1244
E02000487,Havering 024,Works mainly from home,1805
E02000488,Havering 025,Works mainly from home,1423
E02000489,Havering 026,Works mainly from home,1309
E02000490,Havering 027,Works mainly from home,1145
E02000491,Havering 028,Works mainly from home,1230
E02000492,Havering 029,Works mainly from home,932
E02000493,Havering 030,Works mainly from home,804
E02000494,Hillingdon 001,Works mainly from home,1937
E02000495,Hillingdon 002,Works mainly from home,2022
E02000496,Hillingdon 003,Works mainly from home,1198
E02000497,Hillingdon 004,Works mainly from home,2030
E02000498,Hillingdon 005,Works mainly from home,1184
E02000499,Hillingdon 006,Works mainly from home,1706
E02000500,Hillingdon 007,Works mainly from home,1906
E02000501,Hillingdon 008,Works mainly from home,1795
E02000502,Hillingdon 009,Works mainly from home,1821
E02000503,Hillingdon 010,Works mainly from home,1770
E02000504,Hillingdon 011,Works mainly from home,1705
E02000506,Hillingdon 013,Works mainly from home,1732
E02000507,Hillingdon 014,Works mainly from home,1260
E02000508,Hillingdon 015,Works mainly from home,2130
E02000509,Hillingdon 016,Works mainly from home,1368
E02000510,Hillingdon 017,Works mainly from home,1323
E02000511,Hillingdon 018,Works mainly from home,1129
E02000512,Hillingdon 019,Works mainly from home,988
E02000513,Hillingdon 020,Works mainly from home,715
E02000514,Hillingdon 021,Works mainly from home,896
E02000515,Hillingdon 022,Works mainly from home,1864
E02000516,Hillingdon 023,Works mainly from home,864
