Middle layer Super Output Areas Code,Middle layer Super Output Areas,Warehouse
E02006607,Mid Sussex 004,27
E02006608,Mid Sussex 005,16
E02006609,Mid Sussex 006,21
E02006610,Mid Sussex 007,38
E02006611,Mid Sussex 008,7
E02006612,Mid Sussex 009,86
E02006613,Mid Sussex 010,53
E02006614,Mid Sussex 011,185
E02006615,Mid Sussex 012,6
E02006616,Mid Sussex 013,2
E02006617,Mid Sussex 014,17
E02006618,Mid Sussex 015,6
E02006619,Mid Sussex 016,29
E02006620,Mid Sussex 017,20
E02006621,Worthing 001,2
E02006622,Worthing 002,11
E02006623,Worthing 003,0
E02006624,Worthing 004,4
E02006625,Worthing 005,30
E02006626,Worthing 006,1
E02006627,Worthing 007,55
E02006628,Worthing 008,31
E02006629,Worthing 009,12
E02006630,Worthing 010,78
E02006631,Worthing 011,177
E02006632,Worthing 012,31
E02006633,Worthing 013,8
E02006782,Bromley 040,12
E02006783,Lewisham 037,8
E02006784,Lewisham 038,6
E02006785,Bexley 029,5
E02006786,Greenwich 033,11
E02006787,Bromley 041,17
E02006788,Croydon 045,5
E02006789,Bromley 042,12
E02006790,Tandridge 012,6
E02006791,Ealing 040,58
E02006792,Hounslow 029,67
E02006793,Enfield 037,13
E02006794,Haringey 037,20
E02006795,Harrow 032,0
E02006796,Hillingdon 033,12
E02006798,Lewisham 039,62
E02006799,Barking and Dagenham 023,9
E02006800,Redbridge 034,14
E02006801,Lambeth 036,150
E02006802,Southwark 034,86
E02006821,Portsmouth 026,4
E02006822,Havant 018,3
E02006823,Buckinghamshire 039,7
E02006824,Buckinghamshire 036,26
E02006825,East Cambridgeshire 011,6
E02006826,West Suffolk 015,62
E02006829,East Hampshire 016,22
E02006830,Havant 019,2
E02006831,Havant 020,3
E02006832,Sevenoaks 016,3
E02006833,Tonbridge and Malling 014,47
E02006836,Sutton 025,9
E02006837,Epsom and Ewell 010,35
E02006838,East Hampshire 017,18
E02006839,Waverley 018,69
E02006853,Tower Hamlets 032,7
E02006854,Tower Hamlets 033,105
E02006855,Canterbury 019,25
E02006856,Canterbury 020,113
E02006857,Eastbourne 013,6
E02006858,Eastbourne 014,4
E02006859,Thurrock 019,1
E02006873,South Cambridgeshire 020,6
E02006874,South Cambridgeshire 021,10
E02006877,Peterborough 022,5
E02006878,Peterborough 023,3
E02006879,Folkestone and Hythe 014,129
E02006880,Folkestone and Hythe 015,211
E02006882,Harrow 033,10
E02006886,Vale of White Horse 016,25
E02006907,Norwich 014,238
E02006908,Norwich 015,25
E02006918,Hackney 028,60
E02006921,Hackney 029,9
E02006922,Colchester 022,10
E02006924,Redbridge 035,15
E02006925,Redbridge 036,5
E02006926,Thurrock 020,0
E02006927,Greenwich 034,23
E02006928,Greenwich 035,63
E02006930,Greenwich 037,64
E02006931,Greenwich 038,178
E02006937,Luton 022,66
E02006938,Luton 023,85
E02006939,Reading 019,78
E02006940,Reading 020,94
E02006941,Southwark 035,779
E02006942,Southwark 036,306
E02006953,Barnet 042,16
E02006954,Barnet 043,13
E02006955,Brent 035,1
E02006956,Brent 036,4
E02006968,Ealing 041,14
E02006969,Ealing 042,31
E02006970,Ealing 043,32
E02006971,Ealing 044,5
E02006972,Hounslow 030,36
E02006973,Hounslow 031,47
E02006975,Portsmouth 027,54
E02006976,Portsmouth 028,23
E02006978,Chelmsford 022,144
E02006979,Chelmsford 023,75
E02006980,Rochford 011,3
E02006981,Rochford 012,0
E02006987,Croydon 046,178
E02006988,Croydon 047,44
E02006991,Greenwich 039,411
E02006992,Greenwich 040,32
E02006993,Greenwich 041,6
E02006994,Greenwich 042,96
E02006995,Newham 038,7
E02006996,Newham 039,4
E02006997,Newham 040,27
E02006998,Newham 041,19
E02006999,Newham 042,8
E02007004,Thurrock 021,7
E02007005,Thurrock 022,6
E02007008,Lewisham 040,7
E02007009,Lewisham 041,95
E02007010,Bedford 021,23
E02007011,Bedford 022,6
E02007012,Milton Keynes 033,7
E02007013,Milton Keynes 034,3
E02007014,Milton Keynes 035,1
E02007015,Milton Keynes 036,3
E02007016,Milton Keynes 037,2
E02007017,Redbridge 037,2
E02007018,Redbridge 038,3
E02007019,Redbridge 039,12
E02007020,Redbridge 040,3
E02007021,Oxford 020,7
E02007032,North Norfolk 015,9
E02007033,North Norfolk 016,20
E02007046,Ashford 015,8
E02007047,Ashford 016,6
E02007052,Norwich 016,107
E02007053,Norwich 017,295
E02007054,South Norfolk 016,8
E02007055,South Norfolk 017,5
E02007056,Colchester 023,0
E02007057,Colchester 024,15
E02007068,Slough 015,10
E02007069,Slough 016,4
E02007074,Southampton 033,59
E02007075,Southampton 034,194
E02007076,Test Valley 016,5
E02007077,Test Valley 017,3
E02007078,Test Valley 018,16
E02007083,Wandsworth 038,2
E02007084,Wandsworth 039,153
E02007085,South Cambridgeshire 022,8
E02007086,Cambridge 015,8
E02007087,Cambridge 014,24
E02007088,North Hertfordshire 016,31
E02007089,North Hertfordshire 017,8
E02007090,St Albans 021,47
E02007091,Stevenage 013,4
E02007092,Welwyn Hatfield 017,0
E02007093,East Hertfordshire 019,17
E02007108,Hackney 030,211
E02007109,Hackney 031,102
E02007110,Hackney 032,120
E02007111,Hackney 033,314
E02007112,Tower Hamlets 034,12
E02007113,Tower Hamlets 035,10
E02007114,Tower Hamlets 036,10
E02007115,Camden 029,48
E02007116,Oxford 019,46
