Middle layer Super Output Areas Code,Middle layer Super Output Areas,Warehouse
E02000578,Kensington and Chelsea 002,33
E02000579,Kensington and Chelsea 003,23
E02000580,Kensington and Chelsea 004,34
E02000581,Kensington and Chelsea 005,31
E02000582,Kensington and Chelsea 006,73
E02000583,Kensington and Chelsea 007,28
E02000584,Kensington and Chelsea 008,62
E02000585,Kensington and Chelsea 009,28
E02000586,Kensington and Chelsea 010,57
E02000587,Kensington and Chelsea 011,28
E02000588,Kensington and Chelsea 012,32
E02000589,Kensington and Chelsea 013,52
E02000590,Kensington and Chelsea 014,25
E02000591,Kensington and Chelsea 015,37
E02000592,Kensington and Chelsea 016,48
E02000593,Kensington and Chelsea 017,35
E02000594,Kensington and Chelsea 018,26
E02000595,Kensington and Chelsea 019,25
E02000596,Kensington and Chelsea 020,32
E02000597,Kensington and Chelsea 021,35
E02000598,Kingston upon Thames 001,0
E02000599,Kingston upon Thames 002,12
E02000600,Kingston upon Thames 003,42
E02000601,Kingston upon Thames 004,30
E02000602,Kingston upon Thames 005,37
E02000603,Kingston upon Thames 006,10
E02000604,Kingston upon Thames 007,29
E02000605,Kingston upon Thames 008,4
E02000606,Kingston upon Thames 009,58
E02000607,Kingston upon Thames 010,11
E02000608,Kingston upon Thames 011,40
E02000609,Kingston upon Thames 012,3
E02000610,Kingston upon Thames 013,65
E02000611,Kingston upon Thames 014,2
E02000612,Kingston upon Thames 015,1
E02000613,Kingston upon Thames 016,20
E02000614,Kingston upon Thames 017,23
E02000615,Kingston upon Thames 018,9
E02000616,Kingston upon Thames 019,4
E02000617,Kingston upon Thames 020,9
E02000619,Lambeth 002,111
E02000620,Lambeth 003,176
E02000621,Lambeth 004,147
E02000622,Lambeth 005,75
E02000623,Lambeth 006,97
E02000624,Lambeth 007,138
E02000625,Lambeth 008,81
E02000626,Lambeth 009,46
E02000627,Lambeth 010,42
E02000628,Lambeth 011,72
E02000629,Lambeth 012,95
E02000630,Lambeth 013,95
E02000631,Lambeth 014,46
E02000632,Lambeth 015,109
E02000633,Lambeth 016,85
E02000634,Lambeth 017,97
E02000635,Lambeth 018,70
E02000636,Lambeth 019,74
E02000637,Lambeth 020,64
E02000638,Lambeth 021,97
E02000639,Lambeth 022,19
E02000640,Lambeth 023,34
E02000641,Lambeth 024,15
E02000642,Lambeth 025,41
E02000643,Lambeth 026,32
E02000644,Lambeth 027,32
E02000645,Lambeth 028,83
E02000646,Lambeth 029,120
E02000647,Lambeth 030,17
E02000648,Lambeth 031,27
E02000649,Lambeth 032,75
E02000650,Lambeth 033,60
E02000651,Lambeth 034,30
E02000652,Lambeth 035,4
E02000653,Lewisham 001,65
E02000654,Lewisham 002,90
E02000655,Lewisham 003,64
E02000657,Lewisham 005,77
E02000658,Lewisham 006,20
E02000659,Lewisham 007,52
E02000660,Lewisham 008,28
E02000661,Lewisham 009,30
E02000662,Lewisham 010,15
E02000663,Lewisham 011,23
E02000665,Lewisham 013,51
E02000666,Lewisham 014,25
E02000667,Lewisham 015,13
E02000668,Lewisham 016,33
E02000669,Lewisham 017,41
E02000670,Lewisham 018,34
E02000671,Lewisham 019,41
E02000672,Lewisham 020,37
E02000673,Lewisham 021,80
E02000674,Lewisham 022,14
E02000675,Lewisham 023,12
E02000676,Lewisham 024,42
E02000677,Lewisham 025,23
E02000678,Lewisham 026,4
E02000679,Lewisham 027,18
E02000680,Lewisham 028,31
E02000681,Lewisham 029,15
E02000682,Lewisham 030,3
E02000683,Lewisham 031,15
E02000685,Lewisham 033,55
E02000686,Lewisham 034,17
E02000687,Lewisham 035,25
E02000689,Merton 001,31
E02000690,Merton 002,16
E02000691,Merton 003,31
E02000692,Merton 004,36
E02000693,Merton 005,33
E02000694,Merton 006,41
E02000695,Merton 007,14
E02000696,Merton 008,17
E02000697,Merton 009,84
E02000698,Merton 010,28
E02000699,Merton 011,26
E02000700,Merton 012,4
E02000701,Merton 013,12
E02000702,Merton 014,4
E02000703,Merton 015,30
E02000704,Merton 016,24
E02000705,Merton 017,18
E02000706,Merton 018,17
E02000707,Merton 019,4
E02000708,Merton 020,35
E02000709,Merton 021,3
E02000710,Merton 022,53
E02000711,Merton 023,12
E02000712,Merton 024,8
