Middle layer Super Output Areas Code,Middle layer Super Output Areas,Detached
E02006557,Arun 016,512
E02006558,Arun 017,632
E02006559,Arun 018,2596
E02006560,Arun 019,1691
E02006561,Chichester 001,1264
E02006562,Chichester 002,1582
E02006563,Chichester 003,1257
E02006564,Chichester 004,1108
E02006565,Chichester 005,1495
E02006566,Chichester 006,1592
E02006567,Chichester 007,1189
E02006568,Chichester 008,400
E02006569,Chichester 009,1631
E02006570,Chichester 010,487
E02006571,Chichester 011,1414
E02006572,Chichester 012,1037
E02006573,Chichester 013,2772
E02006574,Chichester 014,2059
E02006575,Crawley 001,234
E02006576,Crawley 002,1721
E02006577,Crawley 003,236
E02006578,Crawley 004,440
E02006579,Crawley 005,446
E02006580,Crawley 006,421
E02006581,Crawley 007,471
E02006582,Crawley 008,1611
E02006583,Crawley 009,372
E02006584,Crawley 010,88
E02006585,Crawley 011,70
E02006586,Crawley 012,136
E02006587,Crawley 013,230
E02006588,Horsham 001,1120
E02006589,Horsham 002,2036
E02006590,Horsham 003,950
E02006591,Horsham 004,821
E02006592,Horsham 005,1404
E02006593,Horsham 006,522
E02006594,Horsham 007,1144
E02006595,Horsham 008,1985
E02006596,Horsham 009,1577
E02006597,Horsham 010,1797
E02006598,Horsham 011,995
E02006599,Horsham 012,2500
E02006600,Horsham 013,1460
E02006601,Horsham 014,1466
E02006602,Horsham 015,1943
E02006603,Horsham 016,1482
E02006604,Mid Sussex 001,1098
E02006605,Mid Sussex 002,1108
E02006606,Mid Sussex 003,1460
E02006607,Mid Sussex 004,1656
E02006608,Mid Sussex 005,1128
E02006609,Mid Sussex 006,1298
E02006610,Mid Sussex 007,1360
E02006611,Mid Sussex 008,2062
E02006612,Mid Sussex 009,944
E02006613,Mid Sussex 010,455
E02006614,Mid Sussex 011,2054
E02006615,Mid Sussex 012,858
E02006616,Mid Sussex 013,1153
E02006617,Mid Sussex 014,431
E02006618,Mid Sussex 015,1386
E02006619,Mid Sussex 016,1337
E02006620,Mid Sussex 017,1869
E02006621,Worthing 001,2358
E02006622,Worthing 002,1049
E02006623,Worthing 003,564
E02006624,Worthing 004,1174
E02006625,Worthing 005,313
E02006626,Worthing 006,758
E02006627,Worthing 007,762
E02006628,Worthing 008,154
E02006629,Worthing 009,273
E02006630,Worthing 010,216
E02006631,Worthing 011,173
E02006632,Worthing 012,804
E02006633,Worthing 013,1940
E02006782,Bromley 040,399
E02006783,Lewisham 037,146
E02006784,Lewisham 038,104
E02006785,Bexley 029,116
E02006786,Greenwich 033,114
E02006787,Bromley 041,94
E02006788,Croydon 045,112
E02006789,Bromley 042,1431
E02006790,Tandridge 012,1069
E02006791,Ealing 040,55
E02006792,Hounslow 029,121
E02006793,Enfield 037,156
E02006794,Haringey 037,124
E02006795,Harrow 032,91
E02006796,Hillingdon 033,317
E02006798,Lewisham 039,52
E02006799,Barking and Dagenham 023,216
E02006800,Redbridge 034,270
E02006801,Lambeth 036,20
E02006802,Southwark 034,31
E02006821,Portsmouth 026,541
E02006822,Havant 018,952
E02006823,Buckinghamshire 039,2097
E02006824,Buckinghamshire 036,1351
E02006825,East Cambridgeshire 011,1495
E02006826,West Suffolk 015,746
E02006829,East Hampshire 016,1645
E02006830,Havant 019,458
E02006831,Havant 020,1254
E02006832,Sevenoaks 016,451
E02006833,Tonbridge and Malling 014,1876
E02006836,Sutton 025,1632
E02006837,Epsom and Ewell 010,2573
E02006838,East Hampshire 017,1995
E02006839,Waverley 018,1826
E02006853,Tower Hamlets 032,28
E02006854,Tower Hamlets 033,11
E02006855,Canterbury 019,205
E02006856,Canterbury 020,254
E02006857,Eastbourne 013,704
E02006858,Eastbourne 014,437
E02006859,Thurrock 019,711
E02006873,South Cambridgeshire 020,1142
E02006874,South Cambridgeshire 021,1865
E02006877,Peterborough 022,1465
E02006878,Peterborough 023,1482
E02006879,Folkestone and Hythe 014,71
E02006880,Folkestone and Hythe 015,210
E02006882,Harrow 033,229
E02006886,Vale of White Horse 016,2591
E02006907,Norwich 014,78
E02006908,Norwich 015,274
E02006918,Hackney 028,43
E02006921,Hackney 029,34
E02006922,Colchester 022,2065
E02006924,Redbridge 035,165
E02006925,Redbridge 036,330
E02006926,Thurrock 020,1080
E02006927,Greenwich 034,352
E02006928,Greenwich 035,29
E02006930,Greenwich 037,63
E02006931,Greenwich 038,127
E02006937,Luton 022,196
E02006938,Luton 023,46
E02006939,Reading 019,51
E02006940,Reading 020,82
E02006941,Southwark 035,13
E02006942,Southwark 036,7
E02006953,Barnet 042,21
E02006954,Barnet 043,85
E02006955,Brent 035,51
E02006956,Brent 036,103
E02006968,Ealing 041,585
E02006969,Ealing 042,116
E02006970,Ealing 043,138
E02006971,Ealing 044,208
E02006972,Hounslow 030,49
E02006973,Hounslow 031,39
E02006975,Portsmouth 027,29
E02006976,Portsmouth 028,31
E02006978,Chelmsford 022,131
E02006979,Chelmsford 023,173
E02006980,Rochford 011,1190
E02006981,Rochford 012,1374
E02006987,Croydon 046,29
E02006988,Croydon 047,127
E02006991,Greenwich 039,13
E02006992,Greenwich 040,45
E02006993,Greenwich 041,23
E02006994,Greenwich 042,47
E02006995,Newham 038,20
E02006996,Newham 039,77
E02006997,Newham 040,19
E02006998,Newham 041,80
E02006999,Newham 042,45
E02007004,Thurrock 021,104
E02007005,Thurrock 022,136
E02007008,Lewisham 040,18
E02007009,Lewisham 041,85
E02007010,Bedford 021,1158
E02007011,Bedford 022,901
E02007012,Milton Keynes 033,1028
E02007013,Milton Keynes 034,981
E02007014,Milton Keynes 035,866
E02007015,Milton Keynes 036,972
E02007016,Milton Keynes 037,1371
E02007017,Redbridge 037,125
E02007018,Redbridge 038,120
E02007019,Redbridge 039,105
E02007020,Redbridge 040,216
E02007021,Oxford 020,191
E02007032,North Norfolk 015,1254
E02007033,North Norfolk 016,976
E02007046,Ashford 015,552
E02007047,Ashford 016,884
E02007052,Norwich 016,77
E02007053,Norwich 017,39
E02007054,South Norfolk 016,1297
E02007055,South Norfolk 017,1405
E02007056,Colchester 023,1133
E02007057,Colchester 024,611
E02007068,Slough 015,148
E02007069,Slough 016,242
E02007074,Southampton 033,42
E02007075,Southampton 034,21
E02007076,Test Valley 016,996
E02007077,Test Valley 017,660
E02007078,Test Valley 018,479
E02007083,Wandsworth 038,7
E02007084,Wandsworth 039,33
E02007085,South Cambridgeshire 022,2062
E02007086,Cambridge 015,563
E02007087,Cambridge 014,314
E02007088,North Hertfordshire 016,1494
E02007089,North Hertfordshire 017,722
E02007090,St Albans 021,816
E02007091,Stevenage 013,880
E02007092,Welwyn Hatfield 017,348
E02007093,East Hertfordshire 019,1503
E02007108,Hackney 030,29
E02007109,Hackney 031,73
E02007110,Hackney 032,2
E02007111,Hackney 033,15
E02007112,Tower Hamlets 034,6
E02007113,Tower Hamlets 035,10
E02007114,Tower Hamlets 036,17
E02007115,Camden 029,25
E02007116,Oxford 019,169
