Middle layer Super Output Areas Code,Middle layer Super Output Areas,Detached
E02000434,Harrow 002,584
E02000435,Harrow 003,523
E02000436,Harrow 004,999
E02000437,Harrow 005,467
E02000438,Harrow 006,507
E02000439,Harrow 007,110
E02000440,Harrow 008,400
E02000441,Harrow 009,753
E02000442,Harrow 010,168
E02000443,Harrow 011,166
E02000444,Harrow 012,134
E02000445,Harrow 013,174
E02000447,Harrow 015,215
E02000448,Harrow 016,927
E02000449,Harrow 017,125
E02000451,Harrow 019,352
E02000452,Harrow 020,109
E02000453,Harrow 021,148
E02000454,Harrow 022,556
E02000455,Harrow 023,205
E02000456,Harrow 024,107
E02000457,Harrow 025,291
E02000459,Harrow 027,173
E02000460,Harrow 028,98
E02000461,Harrow 029,290
E02000462,Harrow 030,126
E02000463,Harrow 031,103
E02000464,Havering 001,246
E02000465,Havering 002,106
E02000466,Havering 003,360
E02000467,Havering 004,127
E02000468,Havering 005,203
E02000469,Havering 006,188
E02000470,Havering 007,472
E02000471,Havering 008,439
E02000472,Havering 009,245
E02000473,Havering 010,434
E02000474,Havering 011,293
E02000475,Havering 012,1065
E02000476,Havering 013,243
E02000477,Havering 014,567
E02000478,Havering 015,1452
E02000479,Havering 016,216
E02000480,Havering 017,188
E02000481,Havering 018,412
E02000482,Havering 019,501
E02000483,Havering 020,215
E02000484,Havering 021,423
E02000485,Havering 022,233
E02000486,Havering 023,144
E02000487,Havering 024,552
E02000488,Havering 025,173
E02000489,Havering 026,122
E02000490,Havering 027,185
E02000491,Havering 028,564
E02000492,Havering 029,747
E02000493,Havering 030,165
E02000494,Hillingdon 001,1558
E02000495,Hillingdon 002,646
E02000496,Hillingdon 003,494
E02000497,Hillingdon 004,734
E02000498,Hillingdon 005,690
E02000499,Hillingdon 006,469
E02000500,Hillingdon 007,1481
E02000501,Hillingdon 008,477
E02000502,Hillingdon 009,388
E02000503,Hillingdon 010,89
E02000504,Hillingdon 011,1047
E02000506,Hillingdon 013,1711
E02000507,Hillingdon 014,88
E02000508,Hillingdon 015,479
E02000509,Hillingdon 016,199
E02000510,Hillingdon 017,707
E02000511,Hillingdon 018,131
E02000512,Hillingdon 019,335
E02000513,Hillingdon 020,138
E02000514,Hillingdon 021,181
E02000515,Hillingdon 022,332
E02000516,Hillingdon 023,358
E02000517,Hillingdon 024,200
E02000518,Hillingdon 025,188
E02000519,Hillingdon 026,198
E02000520,Hillingdon 027,206
E02000521,Hillingdon 028,186
E02000522,Hillingdon 029,376
E02000523,Hillingdon 030,255
E02000524,Hillingdon 031,332
E02000525,Hillingdon 032,199
E02000526,Hounslow 001,90
E02000529,Hounslow 004,167
E02000530,Hounslow 005,90
E02000531,Hounslow 006,137
E02000532,Hounslow 007,187
E02000533,Hounslow 008,142
E02000534,Hounslow 009,290
E02000535,Hounslow 010,185
E02000536,Hounslow 011,221
E02000537,Hounslow 012,268
E02000538,Hounslow 013,282
E02000539,Hounslow 014,117
E02000540,Hounslow 015,173
E02000541,Hounslow 016,208
E02000542,Hounslow 017,192
E02000543,Hounslow 018,319
E02000544,Hounslow 019,183
E02000545,Hounslow 020,81
E02000546,Hounslow 021,198
E02000547,Hounslow 022,237
E02000548,Hounslow 023,180
E02000549,Hounslow 024,293
E02000550,Hounslow 025,122
E02000551,Hounslow 026,85
E02000552,Hounslow 027,154
E02000553,Hounslow 028,213
E02000554,Islington 001,42
E02000555,Islington 002,42
E02000556,Islington 003,50
E02000557,Islington 004,19
E02000558,Islington 005,30
E02000559,Islington 006,46
E02000560,Islington 007,28
E02000561,Islington 008,33
E02000562,Islington 009,28
E02000563,Islington 010,39
E02000564,Islington 011,18
E02000565,Islington 012,32
E02000566,Islington 013,62
E02000567,Islington 014,37
E02000568,Islington 015,47
E02000569,Islington 016,37
E02000570,Islington 017,42
E02000571,Islington 018,40
E02000572,Islington 019,35
E02000573,Islington 020,51
E02000574,Islington 021,24
E02000575,Islington 022,27
E02000576,Islington 023,15
E02000577,Kensington and Chelsea 001,44
E02000578,Kensington and Chelsea 002,20
E02000579,Kensington and Chelsea 003,45
E02000580,Kensington and Chelsea 004,8
E02000581,Kensington and Chelsea 005,22
E02000582,Kensington and Chelsea 006,46
E02000583,Kensington and Chelsea 007,32
E02000584,Kensington and Chelsea 008,50
E02000585,Kensington and Chelsea 009,92
E02000586,Kensington and Chelsea 010,43
E02000587,Kensington and Chelsea 011,62
E02000588,Kensington and Chelsea 012,30
E02000589,Kensington and Chelsea 013,24
E02000590,Kensington and Chelsea 014,43
E02000591,Kensington and Chelsea 015,9
E02000592,Kensington and Chelsea 016,17
E02000593,Kensington and Chelsea 017,20
E02000594,Kensington and Chelsea 018,33
E02000595,Kensington and Chelsea 019,52
E02000596,Kensington and Chelsea 020,27
E02000597,Kensington and Chelsea 021,44
E02000598,Kingston upon Thames 001,528
E02000599,Kingston upon Thames 002,1236
E02000600,Kingston upon Thames 003,337
E02000601,Kingston upon Thames 004,684
E02000602,Kingston upon Thames 005,315
E02000603,Kingston upon Thames 006,178
E02000604,Kingston upon Thames 007,302
E02000605,Kingston upon Thames 008,403
E02000606,Kingston upon Thames 009,297
E02000607,Kingston upon Thames 010,363
E02000608,Kingston upon Thames 011,74
E02000609,Kingston upon Thames 012,766
E02000610,Kingston upon Thames 013,320
E02000611,Kingston upon Thames 014,421
E02000612,Kingston upon Thames 015,548
E02000613,Kingston upon Thames 016,542
E02000614,Kingston upon Thames 017,135
E02000615,Kingston upon Thames 018,301
E02000616,Kingston upon Thames 019,150
E02000617,Kingston upon Thames 020,385
E02000619,Lambeth 002,26
E02000620,Lambeth 003,25
E02000621,Lambeth 004,45
E02000622,Lambeth 005,42
E02000623,Lambeth 006,52
E02000624,Lambeth 007,80
E02000625,Lambeth 008,27
E02000626,Lambeth 009,46
E02000627,Lambeth 010,43
E02000628,Lambeth 011,53
E02000629,Lambeth 012,59
E02000630,Lambeth 013,52
E02000631,Lambeth 014,165
E02000632,Lambeth 015,51
E02000633,Lambeth 016,48
E02000634,Lambeth 017,44
E02000635,Lambeth 018,65
E02000636,Lambeth 019,55
E02000637,Lambeth 020,29
E02000638,Lambeth 021,66
E02000639,Lambeth 022,38
E02000640,Lambeth 023,98
E02000641,Lambeth 024,58
E02000642,Lambeth 025,111
E02000643,Lambeth 026,46
E02000644,Lambeth 027,107
E02000645,Lambeth 028,105
E02000646,Lambeth 029,279
E02000647,Lambeth 030,215
E02000648,Lambeth 031,59
E02000649,Lambeth 032,159
E02000650,Lambeth 033,95
E02000651,Lambeth 034,126
E02000652,Lambeth 035,138
E02000653,Lewisham 001,83
E02000654,Lewisham 002,53
E02000655,Lewisham 003,85
E02000657,Lewisham 005,67
E02000658,Lewisham 006,36
E02000659,Lewisham 007,159
E02000660,Lewisham 008,72
E02000661,Lewisham 009,111
E02000662,Lewisham 010,53
E02000663,Lewisham 011,66
E02000665,Lewisham 013,93
E02000666,Lewisham 014,88
E02000667,Lewisham 015,54
E02000668,Lewisham 016,143
E02000669,Lewisham 017,44
E02000670,Lewisham 018,96
E02000671,Lewisham 019,116
E02000672,Lewisham 020,114
E02000673,Lewisham 021,261
E02000674,Lewisham 022,135
E02000675,Lewisham 023,184
E02000676,Lewisham 024,87
E02000677,Lewisham 025,82
E02000678,Lewisham 026,100
E02000679,Lewisham 027,134
E02000680,Lewisham 028,102
E02000681,Lewisham 029,118
E02000682,Lewisham 030,170
E02000683,Lewisham 031,108
E02000685,Lewisham 033,86
E02000686,Lewisham 034,58
E02000687,Lewisham 035,123
E02000689,Merton 001,202
E02000690,Merton 002,868
E02000691,Merton 003,70
E02000692,Merton 004,374
E02000693,Merton 005,104
E02000694,Merton 006,88
E02000695,Merton 007,194
E02000696,Merton 008,117
E02000697,Merton 009,98
E02000698,Merton 010,641
E02000699,Merton 011,98
E02000700,Merton 012,93
E02000701,Merton 013,172
E02000702,Merton 014,134
E02000703,Merton 015,202
E02000704,Merton 016,119
E02000705,Merton 017,155
E02000706,Merton 018,150
E02000707,Merton 019,128
E02000708,Merton 020,90
E02000709,Merton 021,62
E02000710,Merton 022,232
E02000711,Merton 023,131
E02000712,Merton 024,80
E02000713,Merton 025,59
E02000714,Newham 001,127
E02000715,Newham 002,124
E02000716,Newham 003,141
E02000717,Newham 004,120
E02000718,Newham 005,109
E02000719,Newham 006,141
E02000720,Newham 007,168
E02000721,Newham 008,172
E02000722,Newham 009,120
E02000723,Newham 010,247
E02000724,Newham 011,225
E02000725,Newham 012,127
E02000727,Newham 014,192
E02000728,Newham 015,208
E02000729,Newham 016,160
E02000730,Newham 017,205
E02000731,Newham 018,220
E02000732,Newham 019,194
E02000733,Newham 020,154
E02000734,Newham 021,99
E02000735,Newham 022,188
E02000736,Newham 023,227
E02000737,Newham 024,178
E02000738,Newham 025,220
E02000739,Newham 026,218
E02000740,Newham 027,127
E02000741,Newham 028,200
E02000742,Newham 029,159
E02000743,Newham 030,135
E02000744,Newham 031,193
E02000745,Newham 032,236
E02000746,Newham 033,140
E02000747,Newham 034,124
E02000748,Newham 035,301
E02000749,Newham 036,196
E02000751,Redbridge 001,1211
E02000752,Redbridge 002,169
E02000753,Redbridge 003,129
E02000754,Redbridge 004,74
E02000755,Redbridge 005,135
E02000756,Redbridge 006,461
E02000757,Redbridge 007,254
E02000758,Redbridge 008,257
E02000759,Redbridge 009,128
E02000760,Redbridge 010,152
E02000762,Redbridge 012,93
E02000763,Redbridge 013,135
E02000764,Redbridge 014,417
E02000765,Redbridge 015,130
E02000767,Redbridge 017,135
E02000768,Redbridge 018,196
E02000770,Redbridge 020,114
E02000772,Redbridge 022,158
E02000773,Redbridge 023,132
E02000774,Redbridge 024,147
E02000776,Redbridge 026,115
E02000777,Redbridge 027,82
E02000779,Redbridge 029,88
E02000781,Redbridge 031,515
E02000782,Redbridge 032,225
E02000783,Redbridge 033,246
E02000784,Richmond upon Thames 001,269
E02000785,Richmond upon Thames 002,402
E02000786,Richmond upon Thames 003,176
E02000787,Richmond upon Thames 004,157
E02000788,Richmond upon Thames 005,162
E02000789,Richmond upon Thames 006,289
E02000790,Richmond upon Thames 007,197
E02000791,Richmond upon Thames 008,117
E02000792,Richmond upon Thames 009,164
E02000793,Richmond upon Thames 010,247
E02000794,Richmond upon Thames 011,304
E02000795,Richmond upon Thames 012,682
E02000796,Richmond upon Thames 013,287
E02000797,Richmond upon Thames 014,95
E02000798,Richmond upon Thames 015,163
E02000799,Richmond upon Thames 016,223
E02000800,Richmond upon Thames 017,89
E02000801,Richmond upon Thames 018,197
E02000802,Richmond upon Thames 019,351
E02000803,Richmond upon Thames 020,629
E02000804,Richmond upon Thames 021,214
E02000805,Richmond upon Thames 022,507
E02000806,Richmond upon Thames 023,762
E02000807,Southwark 001,57
E02000808,Southwark 002,20
E02000810,Southwark 004,22
E02000812,Southwark 006,27
E02000813,Southwark 007,31
E02000814,Southwark 008,56
E02000815,Southwark 009,7
E02000816,Southwark 010,60
E02000817,Southwark 011,42
E02000818,Southwark 012,28
E02000819,Southwark 013,48
E02000820,Southwark 014,37
E02000821,Southwark 015,39
E02000822,Southwark 016,32
E02000823,Southwark 017,38
E02000824,Southwark 018,73
E02000825,Southwark 019,83
E02000826,Southwark 020,47
E02000827,Southwark 021,36
E02000828,Southwark 022,90
E02000829,Southwark 023,93
E02000830,Southwark 024,141
E02000831,Southwark 025,79
E02000832,Southwark 026,116
E02000833,Southwark 027,43
E02000834,Southwark 028,82
E02000835,Southwark 029,73
E02000836,Southwark 030,45
E02000837,Southwark 031,253
E02000838,Southwark 032,88
E02000839,Southwark 033,437
E02000840,Sutton 001,120
E02000841,Sutton 002,96
E02000842,Sutton 003,106
E02000843,Sutton 004,100
E02000844,Sutton 005,130
E02000845,Sutton 006,223
E02000846,Sutton 007,199
E02000847,Sutton 008,425
E02000848,Sutton 009,91
E02000849,Sutton 010,135
E02000850,Sutton 011,296
E02000851,Sutton 012,144
E02000852,Sutton 013,184
E02000853,Sutton 014,223
E02000854,Sutton 015,425
E02000855,Sutton 016,481
E02000856,Sutton 017,437
E02000857,Sutton 018,203
E02000858,Sutton 019,155
E02000859,Sutton 020,590
E02000860,Sutton 021,117
E02000861,Sutton 022,1182
E02000863,Sutton 024,916
E02000864,Tower Hamlets 001,76
E02000865,Tower Hamlets 002,27
E02000866,Tower Hamlets 003,54
E02000867,Tower Hamlets 004,54
E02000868,Tower Hamlets 005,18
E02000869,Tower Hamlets 006,13
E02000870,Tower Hamlets 007,20
E02000871,Tower Hamlets 008,46
E02000872,Tower Hamlets 009,25
E02000873,Tower Hamlets 010,28
E02000874,Tower Hamlets 011,19
E02000875,Tower Hamlets 012,25
E02000876,Tower Hamlets 013,34
E02000877,Tower Hamlets 014,75
E02000878,Tower Hamlets 015,35
E02000879,Tower Hamlets 016,29
E02000880,Tower Hamlets 017,21
E02000881,Tower Hamlets 018,48
E02000882,Tower Hamlets 019,103
E02000883,Tower Hamlets 020,36
E02000884,Tower Hamlets 021,21
E02000885,Tower Hamlets 022,27
E02000886,Tower Hamlets 023,19
E02000887,Tower Hamlets 024,23
E02000888,Tower Hamlets 025,21
E02000889,Tower Hamlets 026,45
E02000890,Tower Hamlets 027,14
E02000893,Tower Hamlets 030,39
E02000894,Tower Hamlets 031,54
E02000895,Waltham Forest 001,151
E02000896,Waltham Forest 002,272
E02000897,Waltham Forest 003,153
E02000898,Waltham Forest 004,115
E02000899,Waltham Forest 005,112
E02000900,Waltham Forest 006,216
E02000901,Waltham Forest 007,172
E02000902,Waltham Forest 008,109
E02000903,Waltham Forest 009,198
E02000904,Waltham Forest 010,150
E02000905,Waltham Forest 011,140
E02000906,Waltham Forest 012,135
E02000907,Waltham Forest 013,80
E02000908,Waltham Forest 014,118
E02000909,Waltham Forest 015,108
E02000910,Waltham Forest 016,176
E02000911,Waltham Forest 017,152
E02000912,Waltham Forest 018,216
E02000913,Waltham Forest 019,184
E02000914,Waltham Forest 020,154
E02000915,Waltham Forest 021,106
E02000916,Waltham Forest 022,141
E02000917,Waltham Forest 023,108
E02000918,Waltham Forest 024,87
E02000919,Waltham Forest 025,136
E02000920,Waltham Forest 026,159
E02000921,Waltham Forest 027,214
E02000922,Waltham Forest 028,181
E02000923,Wandsworth 001,24
E02000925,Wandsworth 003,25
E02000926,Wandsworth 004,42
E02000927,Wandsworth 005,59
E02000928,Wandsworth 006,70
E02000929,Wandsworth 007,39
E02000930,Wandsworth 008,39
E02000931,Wandsworth 009,28
E02000932,Wandsworth 010,88
E02000933,Wandsworth 011,372
E02000934,Wandsworth 012,49
E02000935,Wandsworth 013,108
E02000936,Wandsworth 014,129
E02000937,Wandsworth 015,115
E02000938,Wandsworth 016,166
E02000939,Wandsworth 017,93
E02000940,Wandsworth 018,32
E02000941,Wandsworth 019,86
E02000942,Wandsworth 020,177
E02000943,Wandsworth 021,56
E02000944,Wandsworth 022,87
E02000945,Wandsworth 023,128
E02000946,Wandsworth 024,54
E02000947,Wandsworth 025,37
E02000948,Wandsworth 026,47
E02000949,Wandsworth 027,122
E02000950,Wandsworth 028,144
E02000951,Wandsworth 029,59
E02000952,Wandsworth 030,28
E02000953,Wandsworth 031,27
E02000954,Wandsworth 032,51
E02000955,Wandsworth 033,82
E02000956,Wandsworth 034,43
E02000957,Wandsworth 035,92
E02000958,Wandsworth 036,131
E02000959,Wandsworth 037,62
E02000960,Westminster 001,62
E02000961,Westminster 002,245
E02000962,Westminster 003,98
E02000963,Westminster 004,123
E02000964,Westminster 005,50
E02000965,Westminster 006,17
E02000966,Westminster 007,34
E02000967,Westminster 008,18
E02000968,Westminster 009,17
E02000969,Westminster 010,16
E02000970,Westminster 011,34
E02000971,Westminster 012,30
E02000972,Westminster 013,14
E02000973,Westminster 014,58
E02000974,Westminster 015,38
